Concept;Label;Language
https://kg.clinia.dev/taxo/default/InterventionsProducts#b769c86f-4c30-4075-a358-4462ec2a6b06;4D echocardiography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#fcf0314e-72e1-403e-a597-5c769c41c5d2;4D prenatal ultrasound;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#f4acf87b-91e7-42b4-9907-ad4ced9c9aab;A1C diabetes test;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#f4acf87b-91e7-42b4-9907-ad4ced9c9aab;A1C test;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#a64b0344-bdb2-47ed-9feb-34d224454cc2;ABO + Rh Pnl Bld;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#3e9d6d85-f02a-41ea-a2f4-00c921ecd91c;ABO and Rh group in Cord blood;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#10da6d55-433b-48b6-bff4-c410fbc21d8e;ABPM device;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#c97d504e-f04c-4a86-a0e7-c5fc32f112c6;ACL reconstruction surgery;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#befd118e-ccc5-48ed-afca-19ce18046faf;ACTH deficiency;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#168099be-35f7-45fa-a9f7-c0792a5c1928;ACTH stimulation test;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7260919f-ea3d-4c9d-9109-444a4c0de748;ADHD assessment;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7260919f-ea3d-4c9d-9109-444a4c0de748;ADHD diagnostic;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7260919f-ea3d-4c9d-9109-444a4c0de748;ADHD evaluation;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7260919f-ea3d-4c9d-9109-444a4c0de748;ADHD testing;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#10f17e9e-f97f-4be5-8c35-40c468a9b1af;ADN foetal circulant;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#77e93ba5-134c-45c1-8872-a84732825b9e;AIDS;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#db0d343b-b84b-43c5-adb2-b8cb3a1e5e34;AIDS nephropathy;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#300f4692-f153-4a71-b010-0208fd934a37;AIDS serodiagnosis;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#db0d343b-b84b-43c5-adb2-b8cb3a1e5e34;AIDS-associated nephropathy;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#db0d343b-b84b-43c5-adb2-b8cb3a1e5e34;AIDS-related nephropathy;en
https://kg.clinia.dev/taxo/default/Anatomy#998c3351-3d4b-4337-be00-9d0781a2fd5a;APUD Cell;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#43a9e834-4a8a-45d8-8d6a-fc4356863292;ARFI imaging;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#3a487f9b-34ef-4563-b06f-4aa550d10bff;Abandonment;en
https://kg.clinia.dev/taxo/default/Anatomy#8cedd6f4-b9c0-4073-8c0a-b10119e4cf94;Abdomen;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#5687c43c-ce56-4c8e-9c5e-ecd15e7da846;Abdominal CT scan;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#f20d3272-5591-4533-a081-c5b77e0b11bb;Abdominal abscess;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#52e418f8-e538-4b34-a552-0c1c8e798628;Abdominal and pelvis CT scan;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#9005ef65-a9f1-472d-aa4e-2fe806d246da;Abdominal aorta ultrasound;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#b87a0971-3d84-45f1-bc79-e11a73c91be0;Abdominal aortic aneurysm;en
https://kg.clinia.dev/taxo/default/Anatomy#3d0b71ca-0cfd-4ff2-b71a-1ef2dbc1bb09;Abdominal cavity;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#52e418f8-e538-4b34-a552-0c1c8e798628;Abdominal computed tomography;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#c8760794-2042-409a-9344-9744fc7f6950;Abdominal delivery;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#9adc5dfc-a5bf-4e94-8bbc-97c620458339;Abdominal doppler;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#9adc5dfc-a5bf-4e94-8bbc-97c620458339;Abdominal doppler ultrasound;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#c531969c-60db-4a35-bf6f-659f4db74fe1;Abdominal hernia;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#9636c319-42e4-4652-89d2-24755506e4a3;Abdominal hysterectomy;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#a7759a18-08fa-45fb-8d42-5df9d6d39c19;Abdominal imaging;en
https://kg.clinia.dev/taxo/default/Anatomy#636d1951-968b-43da-8c08-96c067e2fc16;Abdominal muscles;en
https://kg.clinia.dev/taxo/default/Anatomy#b47fd058-f4ca-4f63-8066-701a8bd76d35;Abdominal oblique muscles;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#6316c4c2-bf44-496e-89b8-f3630184a75e;Abdominal pain;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#e0a50cd2-3cb4-4b5c-a0e7-62f12952da8b;Abdominal pregnancy;en
https://kg.clinia.dev/taxo/default/Professionals#001e07e3-ff74-48a3-aa9e-4be1f43f4bcf;Abdominal radiologist;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#3e6e3252-4f1c-4e6a-b8e1-87584ef752bf;Abdominal region ultrasound;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#d050a860-8ea2-4ce5-9301-12efaefa15d8;Abdominal spasm;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#9005ef65-a9f1-472d-aa4e-2fe806d246da;Abdominal ultrasound;en
https://kg.clinia.dev/taxo/default/Anatomy#636d1951-968b-43da-8c08-96c067e2fc16;Abdominal wall;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#6a917fa6-4bac-4bce-9043-7fa850efbced;Abdominal wall ultrasound;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#47bbb44b-ead6-40b4-9e52-a2abbc30a9e7;Abdominoplasty;en
https://kg.clinia.dev/taxo/default/Anatomy#a5078d1e-0e61-46ba-8b85-387208adbb6d;Abducens nerve;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#63388271-276f-4443-b6f9-6fbba9c31ca3;Aberration des chromosome;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#65b359ea-96d5-40f8-bd3d-6c366d1e8e3f;Aberrometry;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#634456dc-3c78-46b1-99c7-38955decff17;Abilify;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7ac45f3b-9d3b-48d1-884e-85d93d3bf7c1;Ablation;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#3d1291fb-b69d-4f1c-9c70-ac9a681f0889;Abobotulinum toxin A;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#6a917fa6-4bac-4bce-9043-7fa850efbced;Abominal muscles ultrasound;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#88053b8c-76de-4134-96a3-ab780604a1ff;Aboriginal health;en
https://kg.clinia.dev/taxo/default/Populations#4e5f2fd0-6b1b-40f6-abef-a0fc6634b3f5;Aboriginal health;en
https://kg.clinia.dev/taxo/default/Professionals#d777bd45-8343-437a-8fd0-1f3d9b0fb956;Aboriginal outreach worker;en
https://kg.clinia.dev/taxo/default/Populations#4e5f2fd0-6b1b-40f6-abef-a0fc6634b3f5;Aboriginal peoples;en
https://kg.clinia.dev/taxo/default/Populations#4e5f2fd0-6b1b-40f6-abef-a0fc6634b3f5;Aboriginals;en
https://kg.clinia.dev/taxo/default/Anatomy#b05bd0a2-5af3-48c6-9da3-43ed4019f408;Aborted fetus;en
https://kg.clinia.dev/taxo/default/Professionals#a54cc46c-6b29-4a22-8a67-3411e851ca85;Abortion doula;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#0a4ea94c-912c-4716-92fe-272f12232c08;Abruptio placentae;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#22daee8f-5ff3-4065-a887-b78036727307;Abscess;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#aeead4d9-80d6-4dfe-850c-a54ea9f37dc1;Abscess drainage;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#aeead4d9-80d6-4dfe-850c-a54ea9f37dc1;Abscess draining;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#b9052f70-5f4a-4e26-9918-5ae9c1b2dc10;Absence of periods;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#7d5efc51-06a8-443f-84df-90f295729efd;Absence of voice;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#b9052f70-5f4a-4e26-9918-5ae9c1b2dc10;Absense of menstruation;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#6a504e7d-663e-4d80-8da5-8ee1df4a1431;Absorbant insoles;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7088c107-aea2-40e1-aa43-45680b0a7bda;Absorbent dressing;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#deb52aa1-0bc2-4657-b805-ad397285073c;Abuse;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#102dd823-f605-4a93-96a1-b5f58e73c137;Abutment bridge;en
https://kg.clinia.dev/taxo/default/Disciplines#0ad150a8-1ac2-4d28-a32a-9b67ee08d481;Academic & research practice;en
https://kg.clinia.dev/taxo/default/HealthServices#9ee388b9-3b43-4667-a700-ba66f4d5d22c;Academic education services;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#795ee2b4-7a0f-49cf-a2c5-10e5f7274c10;Acamprosate;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#a2543c09-d923-409d-ae46-bf6f58744bb3;Accent modification;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#49f47b26-a4dd-42cb-a5d2-8cb80bc1d767;Acceptance and commitment therapy;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#5c986c03-721a-4916-b79d-94ee4ca60977;Accident;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#61533c71-f3f4-4407-bf09-207160bdb296;Accident at work;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#66909b4e-f40a-4ffb-9bf5-f01f43a80550;Accident prevention;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#54d23096-1ff7-4956-ac17-9271e823fa0e;Accident proneness;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#6c0c2c24-f785-4a5f-8797-0ad7884b598c;Accidental fall;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#4ed8a7b4-260e-4ca7-a184-da26d6ad4847;Accidental injury;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#f30f408e-5b70-4bba-b22d-7757f16a3714;Accommodative plantar orthotics;en
https://kg.clinia.dev/taxo/default/HealthServices#a2465013-fa2b-4bc4-83d2-f3c595d8f711;Accompanied transport;en
https://kg.clinia.dev/taxo/default/HealthServices#a2465013-fa2b-4bc4-83d2-f3c595d8f711;Accompaniment service;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#572dd6b5-1ff2-46b0-bcaa-3e3654e88ebd;Accoutumance;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#4e05c368-7811-4bcc-aa4a-56367d242eb4;Accutane;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#db88cc8c-a6aa-4e2a-bdff-1bf02a94ba15;Acetabuloplasty;en
https://kg.clinia.dev/taxo/default/Anatomy#a51679dd-b0ae-46f4-8b1f-eabfcc61dba1;Acetabulum;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7d43a6a9-f2a2-4bcc-933d-c5f5ba2edcf5;Acetylsalicylic acid;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#0577387c-9de6-4979-b661-e4d4cc49d088;Ache;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#7fdc90fa-25ee-44d6-9858-268fe8d92377;Achievement;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#0d1591d3-d199-400a-b0fb-5eafee7f57e8;Achilles tendinitis;en
https://kg.clinia.dev/taxo/default/Anatomy#95aa4572-279a-4a7d-8661-edc7b79fcc2f;Achilles tendon;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#3c2a9003-7860-4b55-8c23-8b5e81782ab5;Achlorhydria;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#53f52953-3411-4d2c-a6b9-5e3d0a82bd7a;Achondroplasia;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#bfeb80e6-cf02-48a1-92bc-6efde5a8ec4f;Acid reflux;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#7e5eea87-1775-4dd0-b77d-2b860f557ab7;Acid-base equilibrium;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#95e2a871-bef3-4436-8603-47092b45db7e;Acid-fast stain;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#a0230775-05f0-4ffe-b8a0-b380d7216377;Acidosis;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#09a250ef-1a7e-42f0-aaf6-cbfd682bc8d9;Acne;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#e77c5f46-837b-4ffa-88a1-a6e10c29a3ae;Acne scar;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#09a250ef-1a7e-42f0-aaf6-cbfd682bc8d9;Acne vulgaris;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#74749687-23b5-4694-a8ec-b2a907374763;Acneiform eruption;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#3b56189b-e0a9-4bf2-9cbe-d99b5c57815e;Acoumetry;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#2a61f59f-d33e-4f61-92e9-add21acd0c96;Acoustic impedance test;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#5f7908bf-0d78-4b9c-8be6-db6e8df6a3d0;Acoustic microscopy;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#442ff596-9f71-4e18-8f8f-6777c6439226;Acoustic prosthesis   ;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#4bed44a1-2979-4c26-b679-7dee6abca2da;Acoustic trauma;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#ff30bfd9-6e99-4b03-879c-035713871774;Acquired brain injury;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#df6ec4a5-c88e-4351-8d23-2df15b7ee073;Acquired dyslexia;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#77e93ba5-134c-45c1-8872-a84732825b9e;Acquired immunodeficiency syndrome;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#b934d527-5c2e-449d-bf1d-9168dd73d5dd;Acquired lactase deficiency;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#a36c5ab5-2ec2-4cf3-88f1-632ba9a1d48f;Acrochordon;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#4eae15fc-bebb-42e1-bec1-aba2ba1d97c7;Acromegaly;en
https://kg.clinia.dev/taxo/default/Anatomy#c629be95-12be-4698-817e-7d822acef061;Acromioclavicular joint;en
https://kg.clinia.dev/taxo/default/Anatomy#ee8afb41-6a29-4e76-818a-4b852b434b47;Acromion;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#14c63ad5-1a25-437d-88e3-e2f9c616e4de;Actigraphy;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#68ed87f3-2c8b-4c5b-b061-9a44b5603c40;Actinic keratosis;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#064c237c-e4c5-442a-bded-2b971f1afb5d;Activated partial thromboplastin time;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#fa14487e-ce6c-4cb7-8fda-c9e76a5eb657;Activator method;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#fa14487e-ce6c-4cb7-8fda-c9e76a5eb657;Activator method chiropractic technique;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#56ecf714-3784-4591-b7fa-c3445f6de4fd;Active immunotherapy;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#1be81456-1bcb-4c42-a6cc-727226f1b078;Active noise reduction hearing protector;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#4ac883ca-5a35-41ed-abf9-cea298ca85b2;Active release techniques;en
https://kg.clinia.dev/taxo/default/HealthServices#e2a95704-8c4a-49af-9aac-e511ed52eec6;Activités de réseautage;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#b7928fb4-8f9c-4247-a271-24740643b555;Acupressure for induction of labor;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#b7928fb4-8f9c-4247-a271-24740643b555;Acupressure for labor;en
https://kg.clinia.dev/taxo/default/Disciplines#e37c0329-1af4-4cbe-a2f1-9d052069ae51;Acupuncture;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#878b6393-4117-4ed2-a1e2-1461fa7b8cc8;Acupuncture après la grossesse;en
https://kg.clinia.dev/taxo/default/HealthFacilities#c05f137b-8a16-483d-b577-ac9eb5683952;Acupuncture clinic;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#b7928fb4-8f9c-4247-a271-24740643b555;Acupuncture for induction of labor;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#b7928fb4-8f9c-4247-a271-24740643b555;Acupuncture for labor;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#e92dd9ef-b0fc-4083-91ab-79f8e2bb2c75;Acupuncture treatments;en
https://kg.clinia.dev/taxo/default/Professionals#f06c31e7-c6f1-43e3-9b5a-dae9f28b5bf5;Acupuncturist;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#2f8558f0-0915-421e-b415-62b752e16464;Acute abdomen;en
https://kg.clinia.dev/taxo/default/Disciplines#2b37b9f7-1530-4b8b-907b-2824dd385be5;Acute adult psychiatry;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#68a75e60-2680-4b6c-9bce-3343d20dd248;Acute erythroblastic leukemia ;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#88782562-6a84-4060-9d68-c5508776779b;Acute kidney injury;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#f2ca4567-4371-48e7-b4d4-1d7cfeefcbbd;Acute kidney tubular necrosis;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#bfb24136-9eaa-4bc5-b671-eb374077128d;Acute knee pain;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#193ce6c1-aedf-49e8-9669-2bd891092e6b;Acute pain;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#8a4b732e-fac4-43ce-95c9-59e08c97156b;Acute stress disorder;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#bf044f8e-5a9b-4ed4-99fe-7247a63d0898;Acute yellow atrophy;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#cbb958f4-5561-4ce4-ae87-e81d0abc97a9;Acute-phase reaction;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#50196e9c-1d32-4f52-b845-5a9aca285ac1;Acyanopsia;en
https://kg.clinia.dev/taxo/default/Anatomy#8c8fdd4a-5a2c-4b0b-ae67-2a3107b0e4ab;Adam's apple;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#2682dfa0-2532-472d-aa63-08068759b524;Adamantinoma;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#f68bb7ab-51c8-4c5b-9dd3-492d6b9c2f86;Adams-Stokes syndrome;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#9e3d9179-6001-461d-b88c-6c186bb9b1e6;Adapted beds;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#dc655b61-23a0-4169-b0f8-122f558091fc;Adapted chairs;en
https://kg.clinia.dev/taxo/default/HealthServices#021e55d1-fb87-4cb8-93e9-dca8411d3bcb;Adapted driving assessment;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#021e55d1-fb87-4cb8-93e9-dca8411d3bcb;Adapted driving assessment;en
https://kg.clinia.dev/taxo/default/HealthServices#021e55d1-fb87-4cb8-93e9-dca8411d3bcb;Adapted driving evaluation;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#021e55d1-fb87-4cb8-93e9-dca8411d3bcb;Adapted driving evaluation;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#dfb80dac-a46c-461e-8153-c550f0ebf253;Adapted recliner;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#a945aaaf-a2f6-49dc-865b-7d4170a86d79;Adapted utensils;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#747ff59c-34bb-4ab3-99d3-4452ea9e6fb5;Adaptive behavior;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#501b8a68-53cc-42f0-8a0a-93dac845f956;Adaptive immunity;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#57a5ef9b-0d2b-475d-98ab-de29726958ff;Addiction;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#57a5ef9b-0d2b-475d-98ab-de29726958ff;Addiction issues;en
https://kg.clinia.dev/taxo/default/Disciplines#c97fdeb0-184b-4c8b-bfd7-40d9d414021e;Addiction medicine;en
https://kg.clinia.dev/taxo/default/Disciplines#8c5320fd-0cae-4021-9e94-a78f48dd7f1a;Addiction psychiatry;en
https://kg.clinia.dev/taxo/default/HealthFacilities#46d59e18-7c0c-4c45-aee7-d5d180b5abcd;Addiction rehabilitation centre;en
https://kg.clinia.dev/taxo/default/HealthFacilities#7d9ce877-133d-43ad-b58f-bc1ee3f9f379;Addiction treatment center;en
https://kg.clinia.dev/taxo/default/HealthFacilities#7d9ce877-133d-43ad-b58f-bc1ee3f9f379;Addiction treatment facility;en
https://kg.clinia.dev/taxo/default/Professionals#46887197-11c8-44c9-a943-38cc79cff2df;Addictions intervention worker;en
https://kg.clinia.dev/taxo/default/HealthFacilities#0f8956dd-6bde-4257-9f9c-beb643bf576d;Addictions unit;en
https://kg.clinia.dev/taxo/default/Professionals#46887197-11c8-44c9-a943-38cc79cff2df;Addictions worker;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#4c0c5895-be2e-4c62-859f-12da5b160e52;Addictive behavior;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#0a9c1cc8-2cf5-4c8f-988c-9a6352afeb2a;Addictive disorders;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#2ee14653-22a2-4867-8cd7-cf312f362094;AddictivedisorderDrug;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#6e788113-8a8c-4a8d-bd24-ee8c87c39ac3;Addison disease;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#09d0186d-308f-42a2-a22c-324a75deebcb;Adenocarcinoma;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#7a5ca007-ea56-4090-8924-3ae4dd6232b4;Adenoidectomy;en
https://kg.clinia.dev/taxo/default/Anatomy#0e905888-3d71-47cf-ae94-1d0562059533;Adenoids;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#d749962f-07c1-4349-87a0-2a66749951c1;Adenoma;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#0a76cbc1-3652-4a8d-8bfa-c4e00ec60698;Adenomyosis;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#254b7e88-72c6-4c83-acc5-ffbeb0efafc9;Adenosarcoma;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#f01ffd07-97c4-443b-a991-1613cd8f18ac;Adhesions of uterus;en
https://kg.clinia.dev/taxo/default/Anatomy#ee028b0f-4ce2-4eb4-94fd-d60939a90634;Adipose tissue;en
https://kg.clinia.dev/taxo/default/ConditionsSymptomsFactors#25027c71-3a5a-427f-a6b3-ef836ba79d7a;Adiposity;en
https://kg.clinia.dev/taxo/default/InterventionsProducts#a4fd19ea-292c-410e-88ed-c03df24a6353;Adjustable gastric band surgery;en
