,Topic
13,biologie médicale biologie médicale et génomique procédures de biologie procédures de biologie médicale évaluation des tests analyses de biologie médicale analyses de biologie répertoire québécois mesure des procédures de biologie mesure des procédures mesure des procédures de biologie médicale système de mesure des procédures système de mesure des procédures de biologie médicale système de mesure des procédures de biologie répertoire québécois et système système de mesure processus synchronisé séquençage de nouvelle génération séquençage de nouvelle diagnostic moléculaire processus et critères pertinence et indications soutien au diagnostic soutien au diagnostic moléculaire biologie médicale et génomique processus diagnostic moléculaire avis au ministre pertinence et indications de transmission des prélèvements pertinence et indications de transmission indications de transmission des prélèvements indications de transmission
14,listes de médicaments ajout aux listes de médicaments ajout aux listes description du médicament infection par le vih aspects économique coût de traitement listes de médicaments autres recommandations références publiées médicaments autres recommandations conseil reconnaît inhibiteurs de la protéase principaux experts principaux experts consultés liste des principaux experts liste des principaux experts consultés liste des principaux critères économique experts consultés critères prévus ensemble des critères prévus ensemble des critères point de vue experts consultés autres recommandations coût du traitement références utilisées coût annuel paladin forme efficacy and safety conséquence le conseil
15,produits du système produits du système du sang système du sang sang du québec liste des produits liste des produits du système système du sang du québec liste des produits du système du sang produits du système du sang du québec pss en attente rencontre présoumission ajout rencontre présoumission ajout rencontre fabricants rencontre postsoumission rencontre postsoumission présoumission avec les fabricants fabricants rencontre préavis obligatoire évaluation des produits du système du sang évaluation des produits du système évaluation des produits postsoumission avec les fabricants préavis obligatoire demandé aux fabricants préavis obligatoire demandé système du sang en vue sang en vue produits du système du sang en vue monographie de produit sang du québec produits inesss annexes
16,sclérose en plaques forme rémittente interféron bêta indications reconnues fabricant biogen fabricant biogen forme nom du fabricant biogen forme nom du fabricant biogen sep de forme échelle edss sep de forme rémittente poussée clinique interféron bêta nom du fabricant interféron bêta nom dénomination commune sujet interféron dénomination commune sujet interféron bêta traitement de la sep plaques de forme plaques de forme rémittente indication reconnue poussées cliniques sclérose en plaques de forme sclérose en plaques de forme rémittente forme rémittente recommandation demandes subséquentes demandes subséquentes le médecin indication reconnue pour le traitement autorisation initiale traitement de la sclérose en plaques poussée clinique aiguë
17,dépistage et pratiques cliniques dépistage et pratiques cliniques préventives dépistage et pratiques cliniques préventives pratiques cliniques préventives pratiques cliniques pratiques cliniques préventives dépistage dépistage néonatal pertinence du dépistage pertinence des stratégies de dépistage ou de pratiques contexte préventif travaux en dépistage et pratiques cliniques préventives pertinence des stratégies de dépistage ou de pratiques proposées dans un contexte travaux en dépistage et pratiques cliniques pratiques proposées dans un contexte préventif stratégies de dépistage ou de pratiques pertinence des stratégies de dépistage pertinence des stratégies travaux en dépistage pratiques cliniques préventives visent pratiques proposées pratiques proposées dans un contexte travaux en dépistage et pratiques dépistage du cancer pertinence du dépistage néonatal pratiques cliniques préventives évaluation stratégies de dépistage pratiques cliniques préventives modes évaluation de la pertinence du dépistage néonatal évaluation de la pertinence du dépistage
18,professionnelle scientifique professionnel scientifique services sociaux coordonnatrice scientifique fins de remboursement présentation power point méthodologies et éthique évaluation des médicaments et des technologies évaluation des médicaments secrétariat général services sociaux et santé mentale services sociaux et santé amélioration des modes présidence scientifique services administratifs du secrétariat général services administratifs du secrétariat services administratifs du secrétariat général et des communications services administratifs pertinence des modes santé mentale direction des services coordonnateur scientifique données clinico administratives clinico administratives données clinico lymphœdème lié agente de secrétariat traitement du lymphœdème lié traitement du lymphœdème lymphœdème lié au cancer microchirurgies pour la prévention et le traitement du lymphœdème
19,ministre sur opdivo sol perf dénomination commune sujet nivolumab nom du fabricant forme fabricant forme indication reconnue tête et cou kio autres recommandations indication en association opdivo et yervoy carcinome hépatocellulaire indication reconnue décision adénocarcinome rénal cpnpc métastatique lymphome hodgkin liste des médicaments inscription avec conditions indications reconnues jonction oesogastrique progression de la maladie fabricant forme solution nom du fabricant forme solution cancer du poumon confort des patients modification des indications reconnues nivolumab opdivo modification des indications indications reconnues décision solution pour perfusion intraveineuse teneur solution pour perfusion
20,indication reconnue indication reconnue aux listes indication reconnue aux listes des médicaments listes des médicaments diabète type indication reconnue décision forme co teneur procréation assistée kio autres recommandations indication reconnue médicament diabète de type procréation assistée recommandation forme pd inj nom du fabricant merck forme fabricant merck fabricant merck forme nom du fabricant merck carcinome hépatocellulaire nom du fabricant novartis nom du fabricant novartis forme fabricant novartis fabricant novartis forme fibrillation auriculaire arthrite psoriasique accident vasculaire cérébral accident vasculaire sol inj hyperactivité vésicale exception avec conditions insuffisance cardiaque
21,données médico administratives médico administratives données médico gestion et analyse analyse de données gestion et analyse de données professionnel scientifique analyse de données médico analyse de données médico administratives gestion et analyse de données médico professionnel scientifique en gestion et analyse professionnel scientifique en gestion professionnel scientifique en gestion et analyse de données données clinico administratives clinico administratives données clinico analyse des données médico analyse des données médico administratives gestion et analyse des données gestion et analyse des données médico vague de la pandémie de covid vague de la pandémie regard sur les facteurs regard sur les facteurs associés regard sur les facteurs associés aux hospitalisations facteurs associés aux hospitalisations et aux décès facteurs associés aux hospitalisations facteurs associés pandémie de covid santé publique
22,intervention en santé pertinence des soins travaux portant sur les modalités soins des services soins des services et des pratiques pertinence des soins des services travaux portant interventions en santé inesss réalise organisation des soins maladies neurovasculaires modes évaluation des technologies et des modes prévention des infections évaluation des technologies trajectoires de soins usage optimal personnes âgées niveaux de soins services de soutien besoins des personnes âgées données probantes autonomisation des personnes en perte autonomie liée au vieillissement autonomie liée jour en soins jour en soins palliatifs autonomie des personnes âgées services sociaux fatigue chronique réponse aux besoins services spécialisés destinés
23,brain injury traumatic brain traumatic brain injury cord injury trauma care mild traumatic mild traumatic brain mild traumatic brain injury emergency department trauma patients severe traumatic severe traumatic brain severe traumatic brain injury nouveautés dans le réseau cohort study critical care coups et projets en cours nouveautés bons nouveautés bons coups coups et projets plaisir de les partager projets en cours traumatisme crânien trauma center états unis organismes organisateurs raison de la covid traumatic spinal cord traumatic spinal commotions cérébrales
24,santé mentale jeunes et familles services sociaux généraux services sociaux troubles mentaux déficiences physiques intellectuelles et tsa déficiences physiques intellectuelles déficiences physiques situation de négligence dépendance et itinérance jeunes hébergés besoins des enfants jeunes hébergés en centre centre de réadaptation services pour les enfants efficacité des interventions trouble du spectre jeunes hébergés en centre de réadaptation protection de la jeunesse pratiques en réponse aux besoins pratiques en réponse trajectoires de services réponse aux besoins jeunes en difficulté déficiences physiques intellectuelles et tsa jeunes tsa jeunes et familles tsa jeunes matière de fugues matière de fugues auprès fugues auprès des jeunes
25,brentuximab védotine ministre sur adcetris adcetris lymphome lymphome de hodgkin lymphome hodgkin seattlegen forme dénomination commune sujet brentuximab adcetris lymphome hodgkin dénomination commune sujet brentuximab védotine système de santé brentuximab védotine nom du fabricant brentuximab védotine nom effets indésirables qualité de vie ministre sur adcetris lymphome dépenses additionnelles indication reconnue inesss est conscient contexte de ressources limitées ensemble du système ensemble du système de santé greffe de cellules durée de vie utilisation soit encadrée cellules cancéreuses traitement du lymphome fabricant contribue santé autres recommandations système de santé autres recommandations inesss recommande
26,salmétérol xinafoate salmétérol xinafoate de fluticasone propionate salmétérol xinafoate de fluticasone dénomination commune sujet salmétérol dénomination commune sujet salmétérol xinafoate propionate de nom du fabricant propionate de nom salmétérol xinafoate de fluticasone propionate de nom nom du fabricant gsk nom du fabricant gsk forme fabricant gsk forme fabricant gsk propionate de nom du fabricant gsk corticostéroïde en inhalation maladie pulmonaire maladie pulmonaire obstructive chronique maladie pulmonaire obstructive maladie pulmonaire obstructive chronique mpoc voies respiratoires utilisation optimale fabricant gsk forme teneur paiement est pour le traitement données provenant médecin traitant indication reconnue aux listes ministre de la santé et des services ministre de la santé et des services sociaux ministre de la santé description du médicament poudre pour inhalation
27,innovations technologiques innovations technologiques et dispositifs innovations technologiques et dispositifs médicaux dispositifs médicaux évaluation aux fins dispositifs médicaux évaluation usage optimal immunoglobulines protocoles médicaux nationaux ordonnances associées fins de remboursement protocoles médicaux micro invasive du glaucome micro invasive régime public biologie médicale et génomique immunoglobulines humaines traitement de la douleur chronique douleur chronique non cancéreuse usage optimal déficit immunitaire diabète de type douleur chronique traitement de la douleur système de mesure du glucose en continu mesure du glucose en continu services sociaux généraux système de mesure du glucose glucose en continu mesure du glucose implant de gel
28,ministre sur esbriet commune sujet pirfénidone nom dénomination commune sujet pirfénidone commune sujet pirfénidone nom du fabricant commune sujet pirfénidone ministre sur esbriet extrait fibrose pulmonaire fibrose pulmonaire idiopathique esbriet extrait traitement de la fibrose pulmonaire idiopathique traitement de la fibrose pulmonaire traitement de la fibrose kio autres recommandations inscription avec conditions nom du fabricant roche forme fabricant roche forme roche forme fabricant roche nom du fabricant roche listes des médicaments générateur d'un défibrillateur cardiaque health professionals guide d'usage optimal fibrillation auriculaire guide d'usage optimal guo guide d'usage optimal immunoglobulines guide d'usage optimal infection guide d'usage optimal maladie guide d'usage optimal pneumonie guide d'usage optimal pour le traitement guide d'usage optimal rhinosinusite
29,fabricant ferring forme fabricant ferring nom du fabricant ferring forme nom du fabricant ferring procréation assistée procréation assistée recommandation ministre sur decapeptyl kio autres recommandations forme pd inj dénomination commune sujet gonadotrophines stimulation ovarienne procréation médicalement assistée procréation médicalement infertilité masculine acétate de nom du fabricant acétate de nom forme trousse teneur forme trousse hyperstimulation ovarienne femmes atteintes indication reconnue hyperstimulation ovarienne contrôlée indication reconnue médicament hormone lutéinisante dénomination commune sujet estradiol sol inj poudre injectable forme poudre injectable traitement des symptômes vasomoteurs symptômes vasomoteurs
