,Topic
10,santé physique maladies santé physique maladies chroniques maladies chroniques santé physique établissement ayant une mission de clsc sad de longue durée sad de longue services sociaux services aux aînés trouble du spectre déficience intellectuelle déficience physique services sociaux ministère de la santé services sociaux ministère iso smaf profil iso smaf profil iso adjointe des services autonomie des personnes âgées sad de longue durée dans le cadre solution rsipa adultes recevant des services adultes recevant durée dans le cadre services aux aînés direction générale déficience intellectuelle et trouble du spectre déficience intellectuelle et trouble plan dans le module tsa et santé physique tsa et santé
11,cliniques aux professionnels et au réseau directives cliniques aux professionnels et au réseau réseau pour la covid cliniques aux professionnels directives cliniques aux professionnels directives cliniques coronavirus covid imagerie médicale zones de traitement stages en santé procédures buccodentaires directives en vigueur cliniques désignées contexte de pandémie présentations cliniques comité directeur clinique comité éthique covid cliniques externes comité directeur clinique covid directeur clinique version française bloc opératoire pandémie de covid membres du réseau situation de pandémie comité directeur vaccination contre la covid équipements de protection individuelle prévention et contrôle des infections prévention et contrôle
12,doses administrées mesures en vigueur consignes de prévention de base respect des mesures en vigueur mesures en vigueur rappelons vigueur rappelons consignes de prévention cas répertorié nombre de cas répertorié dépistage est restreint accès aux centres accès aux centres de dépistage respect des mesures centres de dépistage vigueur par secteur mesures en vigueur par secteur clientèles prioritaires clientèles prioritaires vaccination tests rapides autodéclarés positifs rappelons nombre de cas tests rapides recherche fr organization msss recherche fr organization organization msss données ouvertes manière quotidienne veuillez manière quotidienne données de manière quotidienne données de manière
13,établissements de la région partie des établissements partie des établissements de la région demandes réalisées intérieur des délais demandes de services cardiologie tertiaire total des demandes réalisées patients de priorité total des demandes approche adaptée établissements sociosanitaires composante contient niveau de priorité pourcentage des demandes mauricie et centre mauricie et centre du québec abitibi témiscamingue nord du québec lac saint centre du québec côte nord chaudière appalaches chirurgie cardiaque unités ciblées unités composante capitale nationale milieux hospitaliers somme des demandes centre de cardiologie
14,heures de service soins palliatifs résidence privée établissements ayant une mission de clsc adaptation et soutien domicile longue domicile longue durée santé physique heures de service de soutien résidence privée pour personnes âgées usager usager service de soutien santé physique maladies ressource de type ressource de type familial ressource intermédiaire type familial santé physique maladies chroniques maladies chroniques services professionnels domicile régulier univers retenu déficience intellectuelle et trouble du spectre déficience intellectuelle et trouble eésad pefsad eésad hors pefsad domicile de courte durée domicile de courte durée des interventions déficience intellectuelle
15,santé mentale services en santé mentale services en santé forum adultes forum adultes et santé forum adultes et santé mentale maladie mentale services de santé contexte de pandémie journées annuelles de santé mentale services de santé mentale journées annuelles de santé journées annuelles trouble mental journées annuelles de santé mentale jasm santé mentale jasm psychiatrie légale santé mentale et psychiatrie santé mentale et psychiatrie légale troubles mentaux service en santé mentale service en santé médecine universitaire trouble de santé mentale trouble de santé organisation des services effets de la pandémie services de santé et médecine services de santé et médecine universitaire santé et médecine
16,abonnés sont disponibles thématiques du msss vaccination contre la covid vivre ensemble vaccination covid flash grippe immunisation du québec activité grippale frais accessoires immunisation du québec piq réseau de la santé et des services sociaux réseau de la santé et des services réseau de la santé milieu scolaire guide de gestion des urgences municipalité amie municipalité amie des aînés gestion des urgences guide de gestion abolition des frais abolition des frais accessoires municipalité amie des aînés mada politique gouvernementale de prévention en santé politique gouvernementale de prévention prévention en santé prévention des dépendances spd semaine de prévention des dépendances semaine de prévention des dépendances spd dépendances spd prévention des dépendances
17,services de réadaptation en externe réadaptation en externe ressource publique ressource publique services ressource publique services de réadaptation services de réadaptation clientèle jeunes aide et soutien répertoire des ressources en dépendances clientèle jeunes et adultes fiche de la ressource réinsertion sociale évaluation des conducteurs réadaptation en externe et avec hébergement services de réadaptation en externe et avec hébergement traitements de substitution évaluation des conducteurs saaq saaq dernière évaluation des conducteurs saaq dernière centre de réadaptation désintoxication avec hébergement centre de réadaptation en dépendance réadaptation en dépendance désintoxication en externe désintoxication en externe réinsertion sociale désintoxication en externe réinsertion service de soutien dépendance le virage réadaptation en dépendance le virage montérégie fiche de la ressource
18,santé publique institut national santé publique du québec institut national de santé institut national de santé publique institut national de santé publique du québec immunisation du québec santé de la population santé publique du québec inspq autorités de santé autorités de santé publique services sociaux ministère de la santé ministère de la santé et des services sociaux ministère de la santé et des services directeur national pandémie de la covid registre de vaccination flash grippe santé publique du canada communication de renseignements programme national programme national de santé publique programme national de santé maladie de lyme maladies infectieuses organisation mondiale de la santé organisation mondiale déclaration obligatoire excellence en santé
19,imagerie médicale organisation clinique et de la gestion organisation clinique gestion des effectifs gestion des effectifs médicaux cours de la période financière effectifs médicaux cours de la période période financière échographies musculo échographies musculo squelettiques musculo squelettiques requêtes en attente période financière dans un délai cours de la période financière dans un délai examens réalisés examens diagnostiques examens lus tomographies par émission tomographies par émission de positrons émission de positrons services diagnostiques pourcentage des rapports rapports signés rapports signés et transmis statut inscrit examens électifs examens électifs primaires en imagerie médicale examens électifs primaires en imagerie examens électifs primaires
20,jeunes en difficulté services psychosociaux services psychosociaux pour les jeunes services psychosociaux pour les jeunes en difficulté cadre du programme programme jeunes en difficulté programme jeunes nature psychosociale services de proximité nombre usagers partie des csss csss de la région partie des csss de la région cadre normatif cadre du programme jeunes cadre du programme jeunes en difficulté année financière services aux jeunes intervention de crise et de suivi intervention de crise et de suivi intensif protection de la jeunesse intervention de crise services de proximité pour les jeunes services de proximité pour les jeunes en difficulté proximité pour les jeunes proximité pour les jeunes en difficulté jeunes pris taux de jeunes taux de jeunes pris suivi intensif
21,soins critiques soins de courte soins de courte durée lits disponibles soins critiques soins de courte durée soins critiques soins lits de débordement lits bloqués jour et otherspecification courteduree soins intermédiaires bedtype permis nombre de lits lits inscrits durée daydate date du jour durée daydate fer deactivat statut des lits lits dressés lits occupés closed bloqué moment du portrait somme des lits soins de longue durée soins de longue ensemble des sections sections de la fiche ensemble des sections de la fiche modifications et ajouts ajout de ventilations intensivecaretype soinsintermediaires nonapplicable
22,banque de données source de données sources de données sources de données et métadonnées données et métadonnées organisme propriétaire abolition des agences régionales agences régionales abolition des agences gouvernance du réseau gouvernance du réseau de la santé gouvernance du réseau de la santé et des services sociaux gouvernance du réseau de la santé et des services services sociaux changements occasionnés organisme propriétaire ministère organisme propriétaire ministère de la santé services sociaux gestionnaire de la source nom de la source de données domaine de données données nom de la source données données source de données direction générale domaine de données réorganisation des établissements description banque description banque de données description banque de données du ministre données du ministre période de diffusion
23,changements de pratique manifestations cliniques vaccins covid dose de rappel vaccin covid mod covid liste des principales liste des principales modifications modifications selon les sections modifications apportées noms commerciaux réponse au vaccin cliniques après la vaccination manifestations cliniques après la vaccination vaccin contre la covid dose de vaccin manifestations cliniques observées enfants âgés produits immunisants vecteur viral messager contre la covid dcat vpi intervalle recommandé vaccinologie pratique noms commerciaux des vaccins vaccins précisions changements de pratique pour la section covid pratique pour la section covid calendrier régulier vaccins contre la covid
24,prélèvements réalisés consignes en vigueur vaccin administrées doses de vaccin administrées doses de vaccin soins intensifs doses administrées saisie dans le système nombre de doses administrées doses reçues au total prélèvements réalisés doses doses reçues nombre de doses cas confirmés décès majorité des données dates réelles de décès heures présentées dans la colonne des décès heures présentées dans la colonne heures présentées colonne des décès fonction des dates réelles de décès variation de certaines données médecin la période décès par le médecin bilan quotidien des décès temps requis pour la déclaration de décès par le médecin temps requis pour la déclaration de décès temps requis pour la déclaration période nécessaire pour mener décès est influencé par le temps
25,protection de la jeunesse services en protection services en protection de la jeunesse ministre délégué cours des dernières semaines cours des dernières recommandations pour agir professions entourant la protection évaluation des signalements volume des demandes besoin les intervenants consultations au cours des dernières semaines consultations au cours des dernières consultations au cours soutien clinique aux équipes budget du gouvernement professions entourant investissement contribuera oxygène dans un système moyens de mener gouvernement prend gestes concrets en créant une commission ministre injecte travail colossal semaines le ministre enfants du québec gestes concrets intervenants en protection intervenants en protection de la jeunesse croissance après différentes consultations
26,partie des rls de la région partie des rls rls de la région clsc de la région territoires de clsc de la région partie des territoires de clsc de la région partie des territoires de clsc partie des territoires territoires de clsc services aux aînés direction générale composantes du rsipa services aux aînés mauricie et centre mauricie et centre du québec abitibi témiscamingue centre du québec lac saint côte nord chaudière appalaches nord du québec capitale nationale territoires de rls réseaux locaux de services régions sociosanitaires réseaux locaux services de santé et de services services de santé et de services sociaux équiv aux territoires de csss équiv aux territoires territoires de csss
27,installations de la région partie des installations partie des installations de la région soins urgents de traumatologie continuum clinique soins urgents durée de séjour prise en charge médicale heure minute année financière civières dans les unités épisode de soins heure du départ départ du patient clientèle ambulatoire urgence inscrits et sortis urgence inscrits patients couchés épisode de soin patients ambulatoires patients couchés sur des civières séjour pour la clientèle méthode de calcul séjour moyen délai de prise durée moyenne de séjour pour la clientèle banque de données communes des urgences durée moyenne de séjour communes des urgences données communes des urgences
28,communiqué de presse soustitre ent compat soustitre ent téléchargements en lien itinérance au québec fiches techniques groupe de travail hôpital de baie forum national baie saint incidents et accidents santé québec incidents et accidents survenus accidents survenus fiche descriptive lancement de la campagne grippe saisonnière projet de loi modifiant encadrement du cannabis hôpital de lachine ministre gaétan barrette gestion financière centre régional services sociaux le docteur ordonnances collectives super cliniques projet pilote ligne de soins secteur de la santé et des services sociaux secteur de la santé et des services
29,santé maternelle foeto infantile santé maternelle et foeto infantile santé maternelle et foeto surveillance de la santé surveillance de la santé maternelle surveillance de la santé maternelle et foeto surveillance de la santé maternelle et foeto infantile résidence de la mère région sociosanitaire rss évolution du nombre lieu de résidence de la mère région sociosanitaire rss du lieu rss du lieu rss du lieu de résidence rss du lieu de résidence de la mère évolution du nombre et de la proportion région sociosanitaire mère québec lieu de résidence naissances vivantes résidence de la mère québec lieu de résidence de la mère québec rss du lieu de résidence de la mère québec proportion de naissances proportion de naissances vivantes taux brut de mortalité taux brut caractéristiques données âge de la mère
