,Topic
10,médicament générique méthode du ppb médicament innovateur application de la méthode application de la méthode du ppb produit innovateur tumeur stromale gastro tumeur stromale tumeur stromale gastro intestinale médicaments génériques produit de référence médicament multisource brain injury liste de médicaments gastro intestinale médicaments innovateurs traumatic brain injury traumatic brain intervalle de confiance ingrédients actifs régime général normes de qualité médicaments du régime général évaluation des médicaments médicaments du régime dépôt électronique trauma care mild traumatic liste de médicaments du régime liste de médicaments du régime général
11,usage optimal version française protocole médical protocole médical national soins palliatifs publication associée chlamydia et gonorrhoeae traitement pharmacologique outil clinique application inesss application inesss guides google play maladie de lyme usage optimal sont disponibles ordonnance collective ordonnance associée traitement pharmacologique des itss ordonnance individuelle soutien au guide écoulement urétral protocoles médicaux rhinosinusite aiguë protocoles médicaux nationaux risque cardiovasculaire pneumonie acquise en communauté usage optimal rhinosinusite aiguë troubles neurocognitifs pneumonie acquise usage optimal rhinosinusite usage optimal pneumonie acquise
12,listes des médicaments dépôt électronique évaluation des médicaments médicaments biosimilaires inscription fiche rencontre présoumission évaluation des médicaments aux fins médicaments aux fins demande en cours préavis obligatoire rencontre postsoumission produits de santé produits de santé naturels santé naturels présoumission avec les fabricants postsoumission avec les fabricants demande en attente fabricants rencontre liste des médicaments préavis obligatoire demandé préavis obligatoire demandé aux fabricants maladie pulmonaire maladie pulmonaire obstructive chronique maladie pulmonaire obstructive adultes atteints médicaments génériques pré ac en attente fabricants demande évaluation des médicaments biosimilaires évaluation aux fins
13,bicarbonate de sodium jamp lurasidone dénomination commune décision du ministre nom du fabricant sulfonate calcique apo eletriptan calcium polystyrene sulfonate sulfonate calcique de jamp injection de glycopyrrolate calcium polystyrene bicarbonate de sodium pour injection sodium pour injection fumarate de apo eletriptan apotex élétriptan citrate liquid angita calcium fumarate de apo eletriptan angita quétiapine sodium darunavir jamp halycil accelera apo eletriptan apotex élétriptan jamp lurasidone chlorhydrate apo eletriptan apotex élétriptan bromhydrate jamp glycopyrrolate jamp évaluations récemment publiées jamp glycopyrrolate sulfonate calcique de jamp lurasidone jamp lurasidone jamp lurasidone chlorhydrate fumarate de apo évaluations récemment evaluation publiée
14,déficiences physiques intellectuelles et tsa déficiences physiques intellectuelles déficiences physiques services offerts déficience physique déficience trouble du spectre méta analyses autisme tsa déficience intellectuelle ans présentant usagers des services de réadaptation réadaptation présentant interventions de réadaptation association rosiglitazone ans présentant un trouble usagers des services décès en lien avec la covid réadaptation pour les enfants âgés évaluation des interventions de réadaptation pour les enfants liquides épaissis services de réadaptation présentant jeunes âgés ans qui présentent évaluation des interventions de réadaptation pratiques organisationnelles en réadaptation intervention auprès enfants âgés efficacité des interventions de réadaptation risk of cardiovascular events pratiques en prévention
15,ministre sur les génériques conseil du médicament médicament capsules conseil du médicament capsules adulte dans le contexte de la covid contexte de la covid adulte dans le contexte utilisation des antiviraux pour le traitement utilisation des antiviraux épilepsie réfractaire virus respiratoire virus respiratoire syncytial revue systématique traitement et prophylaxie annexes complémentaires guides et normes prévention des infections outil clinique usage complications associées procréation assistée médicaments anticancéreux organismes publics accès aux documents des organismes accès aux documents des organismes publics documents des organismes publics organismes publics et sur la protection documents des organismes accès aux documents recommandations portant sur les médicaments recommandations portant
16,réponses rapides réponses rapides disponibles réponse rapide méthode de réponse méthode de réponse rapide services sociaux post covid contexte de pandémie soins intensifs affections post affections post covid contexte de la covid études cliniques réponse rapide covid besoins hospitaliers études cliniques en cours mise en oeuvre ventilation assistée hospitalisation et projections des besoins projections des besoins hospitaliers projections des besoins hospitalisation et projections ventilation assistée échangeur prophylaxie et traitement traitements en contexte inspq visitez élaboration et mise en oeuvre mise en oeuvre de la méthode de réponse hospitalisation et projections des besoins hospitaliers oeuvre de la méthode
17,année complète évolution des pratiques évolution des pratiques en oncologie pratiques en oncologie excellence clinique note explicative période visée conseil scientifique année complète annee année complète année complète année complète annee titre note explicative trimestre année complète année table de concertation comités scientifiques permanents comités scientifiques comités délibératifs comités délibératifs permanents excellence clinique comité biopsie des ganglions évolution des pratiques en oncologie cepo pratiques en oncologie cepo oncologie cepo services sociaux frais inhérents frais de déplacement conseil scientifique comités comités délibératifs permanents comités documents institutionnels collaborateurs institutionnels directions
18,services sociaux institut national excellence en santé excellence en santé et en services excellence en santé et en services sociaux services sociaux inesss évaluation des technologies évaluation des technologies et des modes interventions de réadaptation interventions en santé et en services sociaux interventions en santé et en services interventions en santé intervention en santé collaborateurs institutionnels excellence clinique santé aetmis intervention en santé aetmis patients usagers secteur de la santé réadaptation pour les enfants secteur de la santé et des services sociaux secteur de la santé et des services conseil scientifique usage optimal utilisation efficace des ressources dans le secteur évaluation des interventions de réadaptation utilisation efficace ans présentant un trouble du spectre évaluation des interventions interventions de réadaptation pour les enfants
19,inesss express épidémie de covid besoins hospitaliers projections des besoins projections des besoins hospitaliers hospitalisation et projections des besoins hospitaliers hospitalisation et projections hospitalisation et projections des besoins communiqué suivi listes des médicaments projections des hospitalisations portrait et projections portrait et projections des hospitalisations médicaments multisources étude pour la liste besoins hospitaliers au québec hospitalisation pour les personnes infectées par le sras hospitalisation pour les personnes infectées sras cov évolution du risque mode continu médicaments multisources génériques publication des recommandations inesss transmises ministre sur certains médicaments évaluations en mode continu évaluations en mode alerte inesss services sociaux publication des décisions
20,frais exigibles milieu de soins produit sanguin stable produit sanguin milieu de vie évaluations scientifiques vie en centre milieu de vie en centre règlement sur les frais règlement sur les frais exigibles évaluation du continuum secrétariat général excellence en santé et services sociaux évaluation fiche services administratifs services administratifs du secrétariat général et des communications services administratifs du secrétariat usage optimal personnes âgées services administratifs du secrétariat général excellence en santé et services autonomie des personnes âgées soins de longue soins de longue durée revues systématiques réévaluation fiche services sociaux réponse aux besoins besoins des personnes âgées règlement modifiant conciliation du milieu
21,type de production phase de réalisation échéancier prévu numéro de référence phase de réalisation en cours réalisation en cours guides et normes états des connaissances brain injury implantation des normes de qualité implantation des normes traumatic brain soins de plaies traumatisme craniocérébral normes de qualité risque de complications guide de pratique clinique guide de pratique pratique clinique rcr en contexte hors hospitalier contexte hors hospitalier traumatisme craniocérébral tcc tcc modéré rcr en contexte réadaptation de la clientèle tcc modéré ou grave population adulte traumatic brain injury infection urinaire clientèle adulte
22,professionnelle scientifique professionnel scientifique imagerie médicale prise de décision décision partagée secrétariat général prise de décision partagée évaluation des médicaments intervention en santé évaluation des médicaments et des technologies méthodologies et éthique coordonnatrice scientifique services administratifs du secrétariat général services administratifs du secrétariat général et des communications services administratifs du secrétariat services administratifs fins de remboursement clinico administratives conseil scientifique données clinico présidence scientifique données clinico administratives pertinence des modes transfert de connaissances services sociaux et santé services sociaux et santé mentale amélioration des modes santé mentale direction des services tomographie par émission conseil scientifique comités
23,comptes rendus calendrier des rencontres évaluation des technologies rencontres avec les représentants nombre total mécanismes de liaison industrie pharmaceutique rencontres avec les représentants industrie des technologies biomédicales directions technologies innovantes rencontres industrie des technologies biomédicales industrie des technologies technologies biomédicales directions technologies innovantes rencontres avec les représentants industrie pharmaceutique rencontres technologies biomédicales évaluation des médicaments biologie médicale table de concertation évaluation des tests comité consultatif évaluation comité consultatif industrie pharmaceutique évaluation et technologies innovantes évaluation et technologies usage optimal du médicament technologies innovantes documents institutionnels collaborateurs institutionnels inesss express stage inesss express
24,innovations technologiques innovations technologiques et dispositifs médicaux dispositifs médicaux innovations technologiques et dispositifs yannick auclair produits de connaissance mesure du glucose tisagenlecleucel pour le traitement glucose en continu coordination scientifique arthrose du genou mesure du glucose en continu technologies innovantes système de mesure du glucose leucémie lymphoblastique aiguë leucémie lymphoblastique système de mesure système de mesure du glucose en continu intelligence artificielle axicabtagene ciloleucel surveillance du glucose rétinopathie diabétique hémophilie de type lymphome diffus professionnelle scientifique glucose freestyle surveillance du glucose freestyle flash de surveillance du glucose freestyle flash de surveillance flash de surveillance du glucose
25,forme rémittente sep de forme interféron bêta sep de forme rémittente poussée clinique poussée clinique aiguë poussée clinique aiguë de démyélinisation échelle edss sclérose en plaques jeunes et familles indication reconnue pour le traitement échelle edss est inférieur plaques de forme rémittente angita quétiapine fumarate de apo eletriptan interféron bêta nom du fabricant indication de paiement nom du fabricant biogen traitement de la sep échelle edss la durée nombre de crises demandes subséquentes le médecin besoins des enfants chek mobile demande en attente demande ultérieure les renseignements sclérose en plaques de forme rémittente cadre du traitement dépôt pour évaluation autorisation initiale demande ultérieure
26,demande en cours demande en attente pré ac en attente dépôt pour évaluation listes des médicaments adultes atteints traitement des patients patients adultes patients adultes atteints pré ac en cours projet aligné inesss traitement des patients adultes projet aligné projet aligné inesss acmts traitement des patients adultes atteints produit biosimilaire inscription avec conditions traitement du cancer cancer du poumon nom commercial pembrolizumab merck réévaluation en cours traitement adjuvant traitement des adultes formule nutritive patients atteints liste des médicaments hidradénite suppurée produit du système du sang réévaluation en attente
27,services sociaux présentation power point professionnelle scientifique milieu de vie santé mentale guide de pratique professionnel scientifique déficience intellectuelle faculté de médecine déficience physique soins de longue trouble du spectre soins de longue durée santé publique qualité du milieu qualité du milieu de vie coordonnatrice scientifique université mcgill services sociaux inesss inesss téléchargez usage optimal estrie chus centre hospitalier transfert de connaissances département de médecine experts sur la pertinence publication sont disponibles documents inhérents membre du comité centre sud
28,conseil scientifique inesss express stage documents institutionnels conseil scientifique comités documents institutionnels emplois collaborateurs institutionnels sciences de la santé inesss express région de résidence directrice générale collaborateurs institutionnels directions statut indépendant compétences statut indépendant présidente directrice générale technologies innovantes présidente directrice rencontres avec les représentants services sociaux évaluation et technologies évaluation et technologies innovantes capitale nationale région de résidence montréal nomination école de santé résidence montréal nomination comité consultatif évaluation réseau de la santé école de santé publique comité consultatif table de concertation santé publique
29,brain injury traumatic brain traumatic brain injury mild traumatic trauma care cord injury mild traumatic brain services en traumatologie mild traumatic brain injury continuum de services continuum de services en traumatologie severe traumatic severe traumatic brain nouveautés dans le réseau severe traumatic brain injury trauma patients états unis données médico administratives médico administratives données médico emergency department projets en cours réseau de trauma coups et projets coups et projets en cours plaisir de les partager nouveautés bons nouveautés bons coups soins critiques traumatisme craniocérébral
