,Topic
10,nord du québec - montérégie fiche - montérégie fiche de la ressource - centre de santé - jeu pathologique - communauté thérapeutique - communauté thérapeutique dernière - répertoire des ressources en dépendances - québec centre - alcool drogues jeu - ressource publique - alcool drogues - aide et soutien - durée du programme - fiche de la ressource - lanaudière fiche de la ressource - lanaudière fiche - laurentides fiche de la ressource - laurentides fiche - santé mentale - humaniste dernière - québec fiche de la ressource - québec fiche - ressource publique services - réadaptation en externe - services de réadaptation - services de réadaptation en externe - dépendances aux substances - ressource publique services de réadaptation - traitement des dépendances
11,aide et soutien - laurentides fiche de la ressource - laurentides fiche - lanaudière fiche - lanaudière fiche de la ressource - humaniste dernière - cognitivo comportementale dernière - centre du québec - centre de réadaptation - thérapie individuelle - thérapie individuelle ou de groupe - mauricie et centre du québec - mauricie et centre - centre de réadaptation en dépendance - réadaptation en dépendance - centre de traitement - traitements de substitution - centre du québec fiche - évaluation des conducteurs - hommes et femmes - toxicomanie pour les problèmes - régions ressources publiques - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes de jeu pathologique - problèmes de jeu pathologique - problèmes de jeu - cognitivo comportementale - indicateurs de gestion - jours approche - répertoire des indicateurs
12,jeu pathologique - alcool drogues jeu - alcool drogues - dépendances aux substances - msss et santé - répertoire des ressources en dépendances - services sociaux - services offerts - santé mentale - côte nord - gouvernement fédéral - abitibi témiscamingue - ministère de la santé et des services sociaux - ministère de la santé - ministère de la santé et des services - hébergement en dépendance - lanaudière fiche - lanaudière fiche de la ressource - traitements de substitution - évaluation des conducteurs - capitale nationale québec - capitale nationale - évaluation des conducteurs saaq - formation des intervenants - cisss et ciusss - estrie fiche de la ressource - estrie fiche - services sociaux msss - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle
13,communauté thérapeutique - communauté thérapeutique dernière - santé mentale - laurentides fiche - laurentides fiche de la ressource - ressource publique - durée du programme - traitement des dépendances - sante mentale - initiative du projet - conseil de la fédération - estrie fiche - estrie fiche de la ressource - matière de santé mentale - santé mentale et de traitement - initiative le projet - matière de santé mentale et de traitement - matière de santé - secrétariat du cdf - abitibi témiscamingue - services sociaux - réinsertion sociale - fiche de la ressource - sante mentale et de traitement - ministres des provinces - soins de santé - rencontre estivale - conseil de la fédération cdf - évaluation des avantages - innovation en matiere
14,traitement des dépendances - cognitivo comportementale - cognitivo comportementale dernière - msss et santé - dépendances aux substances - santé mentale - services sociaux - nord du québec - thérapie individuelle - thérapie individuelle ou de groupe - centre de santé - conseil de la fédération - sante mentale - initiative du projet - centre de traitement - centre de traitement des dépendances - gouvernement fédéral - secrétariat du cdf - matière de santé mentale et de traitement - santé mentale et de traitement - matière de santé - initiative le projet - matière de santé mentale - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - entretien motivationnel - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - clientèle jeunes
15,réinsertion sociale clientèle - aide et soutien - hommes et femmes - réinsertion sociale - jours approche - prévention de la rechute - dépendances aux substances - msss et santé - ressource certifiée en dépendances - ressource certifiée - traitement des dépendances - sherbrooke québec - services sociaux - centre de traitement - santé mentale - durée du programme - gouvernement fédéral - conseil de la fédération - sante mentale - initiative du projet - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - désintoxication avec hébergement - centre de traitement des dépendances - matière de santé - matière de santé mentale et de traitement - matière de santé mentale - secrétariat du cdf - santé mentale et de traitement
16,dépendances aux substances - laurentides fiche - laurentides fiche de la ressource - msss et santé - cognitivo comportementale dernière - services sociaux - centre de santé - gouvernement fédéral - ministère de la santé - ministère de la santé et des services sociaux - ministère de la santé et des services - réseau de la santé - réseau de la santé et des services sociaux - réseau de la santé et des services - nord du québec - services sociaux msss - hommes et femmes - hébergement en dépendance - cognitivo comportementale - formation des intervenants - cisss et ciusss - québec fiche de la ressource - québec fiche - désintoxication en externe - service de soutien - dépendance le virage - réadaptation en dépendance le virage - régions ressources publiques - toxicomanie pour les problèmes de jeu pathologique - problèmes de jeu pathologique
17,lanaudière fiche - lanaudière fiche de la ressource - dépendances aux substances - msss et santé - communauté thérapeutique - communauté thérapeutique dernière - gouvernement fédéral - services sociaux - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - ministère de la santé et des services sociaux - ministère de la santé - ministère de la santé et des services - réseau de la santé et des services sociaux - réseau de la santé - réseau de la santé et des services - services sociaux msss - services de réadaptation en externe - services de réadaptation - réadaptation en externe - entretien motivationnel - clientèle jeunes - réadaptation en dépendance - centre de réadaptation en dépendance - centre de réadaptation - durée du programme - hébergement en dépendance - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - formation des intervenants
18,côte nord - abitibi témiscamingue - montérégie fiche - montérégie fiche de la ressource - services offerts - aide et soutien - centre intégré - services sociaux - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - hébergement en dépendance - thérapie individuelle ou de groupe - thérapie individuelle - santé mentale - chaudière appalaches - nord du québec - saaq dernière - évaluation des conducteurs saaq dernière - estrie fiche de la ressource - estrie fiche - numéro sans frais - évaluation des conducteurs saaq - problèmes de jeu - régions ressources publiques - problèmes de jeu pathologique - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes de jeu pathologique - toxicomanie pour les problèmes - capitale nationale québec - capitale nationale
19,côte nord - laurentides fiche de la ressource - laurentides fiche - entretien motivationnel - réinsertion sociale clientèle - cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - services offerts - clientèle jeunes - jours approche - abitibi témiscamingue - humaniste dernière - réadaptation en externe - services de réadaptation - services de réadaptation en externe - ressource certifiée en dépendances - ressource certifiée - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - traitements de substitution - évaluation des conducteurs - traitement des dépendances - fiche de la ressource - centre de traitement des dépendances - ressource publique services de réadaptation - lanaudière fiche de la ressource - lanaudière fiche - répertoire des ressources en dépendances - centre de traitement - hébergement en dépendance
20,entretien motivationnel - aide et soutien - cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - cognitivo comportementale - côte nord - communauté thérapeutique dernière - saaq dernière - évaluation des conducteurs saaq dernière - service de soutien - désintoxication en externe - communauté thérapeutique - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - réinsertion sociale - évaluation des conducteurs saaq - réinsertion sociale clientèle - centre de traitement - jeu pathologique - clientèle jeunes - centre de santé - clientèle jeunes et adultes - traitement des dépendances - durée du programme - alcool drogues jeu - québec centre - sherbrooke québec - abitibi témiscamingue - évaluation des conducteurs - dépendance le virage
21,hébergement en dépendance - abitibi témiscamingue - réinsertion sociale clientèle - cognitivo comportementale dernière - attestation temporaire - certificat de conformité - services sociaux - cognitivo comportementale - règlement sur la certification - attestation temporaire de conformité - centre intégré - certification des ressources communautaires - règlement sur la certification des ressources communautaires - certification des ressources communautaires ou privées - centres intégrés - production originale - pratiques reconnues - lanaudière fiche de la ressource - lanaudière fiche - jours approche - services sociaux ciusss - services sociaux cisss - québec québec - formation des intervenants - cisss et ciusss - centre de santé - santé mentale - conseil de la fédération - initiative du projet - sante mentale
22,centre de traitement - hébergement en dépendance - centre de traitement des dépendances - traitement des dépendances - certificat de conformité - attestation temporaire - règlement sur la certification - attestation temporaire de conformité - cognitivo comportementale dernière - certification des ressources communautaires ou privées - certification des ressources communautaires - règlement sur la certification des ressources communautaires - ressource publique - services offerts - pratiques reconnues - production originale - hommes et femmes - réinsertion sociale - ressource publique services - centres intégrés - centre intégré - services sociaux ciusss - services sociaux cisss - services sociaux - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - communauté thérapeutique - réadaptation en externe - services de réadaptation en externe - services de réadaptation
23,cognitivo comportementale dernière - cognitivo comportementale - réinsertion sociale clientèle - hommes et femmes - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - services de réadaptation en externe - réadaptation en externe - services de réadaptation - abitibi témiscamingue - dépendances aux substances - msss et santé - services offerts - ressource publique services - côte nord - ressource publique - réinsertion sociale - ressource publique services de réadaptation - traitements de substitution - montérégie fiche - montérégie fiche de la ressource - gouvernement fédéral - services sociaux msss - problèmes de jeu - problèmes de jeu pathologique - régions ressources publiques - toxicomanie pour les problèmes - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes de jeu pathologique - centre du québec
24,abitibi témiscamingue - centre intégré - désintoxication en externe - service de soutien - centre de traitement des dépendances - centre de traitement - traitement des dépendances - saaq dernière - évaluation des conducteurs saaq dernière - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - réinsertion sociale clientèle - jours approche - réadaptation en dépendance le virage - dépendance le virage - clientèle jeunes - lanaudière fiche de la ressource - lanaudière fiche - évaluation des conducteurs saaq - répertoire des ressources en dépendances - centre de santé - nord du québec - fiche de la ressource - durée du programme - clientèle jeunes et adultes - thérapie individuelle ou de groupe - thérapie individuelle - ressource publique - services sociaux - communauté thérapeutique dernière
25,abitibi témiscamingue - aide et soutien - entretien motivationnel - sherbrooke québec - montérégie fiche - montérégie fiche de la ressource - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - laurentides fiche - laurentides fiche de la ressource - réadaptation en dépendance - centre de réadaptation en dépendance - centre intégré - estrie fiche - estrie fiche de la ressource - prévention de la rechute - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - dépendance le virage - réadaptation en dépendance le virage - désintoxication avec hébergement - nord du québec - cognitivo comportementale - réinsertion sociale - lanaudière fiche - lanaudière fiche de la ressource - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - centre de réadaptation - québec centre
26,côte nord - dépendance le virage - réadaptation en dépendance le virage - réinsertion sociale clientèle - centre de réadaptation en dépendance - réadaptation en dépendance - nord du québec - cognitivo comportementale dernière - lanaudière fiche de la ressource - lanaudière fiche - hébergement en dépendance - dépendances aux substances - traitement des dépendances - centre de traitement des dépendances - numéro sans frais - centre de réadaptation - santé mentale - centre de traitement - msss et santé - québec centre - attestation temporaire - certificat de conformité - cognitivo comportementale - prévention de la rechute - attestation temporaire de conformité - règlement sur la certification - ressource certifiée en dépendances - ressource certifiée - réseau de la santé et des services sociaux - réseau de la santé et des services
27,formation des intervenants - cisss et ciusss - ministère de la santé et des services sociaux - ministère de la santé et des services - ministère de la santé - centres intégrés - services sociaux - côte nord - québec québec - services sociaux ciusss - services sociaux cisss - dépendance le virage - réadaptation en dépendance le virage - lanaudière fiche - lanaudière fiche de la ressource - centre de traitement des dépendances - centre de traitement - réinsertion sociale clientèle - cognitivo comportementale dernière - prévention de la rechute - traitement des dépendances - centre de réadaptation en dépendance - réadaptation en dépendance - nord du québec - laurentides fiche - laurentides fiche de la ressource - sherbrooke québec - entretien motivationnel - numéro sans frais - centre de santé
28,centre de réadaptation en dépendance - réadaptation en dépendance - jours approche - hommes et femmes - centre de réadaptation - ressource publique - désintoxication avec hébergement - abitibi témiscamingue - dépendance le virage - réadaptation en dépendance le virage - côte nord - durée du programme - alcool drogues jeu - répertoire des ressources en dépendances - alcool drogues - thérapie individuelle ou de groupe - thérapie individuelle - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - ressource publique services - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - clientèle jeunes - fiche de la ressource - nord du québec - cisss et ciusss - formation des intervenants - santé mentale - entretien motivationnel - centre intégré
29,alcool drogues - alcool drogues jeu - répertoire des ressources en dépendances - dépendances aux substances - côte nord - quiz pour les jeunes - humaniste dernière - abitibi témiscamingue - toxicomanie pour les problèmes - problèmes de jeu - problèmes de jeu pathologique - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes de jeu pathologique - régions ressources publiques - lanaudière fiche - lanaudière fiche de la ressource - entretien motivationnel - centre intégré - services de réadaptation - réadaptation en externe - services de réadaptation en externe - québec fiche - québec fiche de la ressource - hommes et femmes - désintoxication en externe - service de soutien - désintoxication en externe réinsertion sociale - désintoxication en externe réinsertion - centre du québec fiche - montérégie fiche
30,réinsertion sociale clientèle - clientèle jeunes - cognitivo comportementale - aide et soutien - humaniste dernière - services offerts - estrie fiche - estrie fiche de la ressource - réinsertion sociale - alcool drogues - clientèle jeunes et adultes - ressource certifiée en dépendances - ressource certifiée - alcool drogues jeu - québec centre - montérégie fiche de la ressource - montérégie fiche - centre de traitement - répertoire des ressources en dépendances - réadaptation en dépendance - centre de réadaptation en dépendance - communauté thérapeutique - quiz pour les jeunes - thérapie individuelle ou de groupe - thérapie individuelle - cisss et ciusss - formation des intervenants - dépendances aux substances - abitibi témiscamingue - centre de réadaptation
31,quiz pour les jeunes - campagne médiatique - alcool de cannabis - pratique des jha - services offerts - jeu pathologique - choix éclairés - partenaires pour diffuser du matériel - pratique des jeux - partenaires pour diffuser - sensibilisation visant - msss collabore avec le ministère - campagne médiatique la spd - pratique des jeux de hasard - matériel de sensibilisation - matière de consommation et de pratique des jha - matière de consommation et de pratique - matière de consommation - prévention des dépendances spd - msss collabore - semaine de prévention des dépendances spd - âge pour découvrir - jeunes les risques - conséquences liés - dépendances spd - facteurs de protection - alcool les drogues - choix éclairés dans différentes situations - argent jha - hommes et femmes
32,services offerts - réadaptation en dépendance - centre de réadaptation en dépendance - prévention de la rechute - évaluation des conducteurs - saaq dernière - évaluation des conducteurs saaq dernière - hommes et femmes - évaluation des conducteurs saaq - centre de réadaptation - communauté thérapeutique - traitements de substitution - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - nord du québec - services de réadaptation - réadaptation en externe - services de réadaptation en externe - sherbrooke québec - santé mentale - alcool drogues - entretien motivationnel - alcool drogues jeu - québec centre - montérégie fiche - montérégie fiche de la ressource - dépendances aux substances - laurentides fiche de la ressource - laurentides fiche - centre de santé
33,centre de santé - services offerts - désintoxication avec hébergement - santé mentale - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - évaluation des conducteurs saaq - lanaudière fiche de la ressource - lanaudière fiche - humaniste dernière - capitale nationale québec - capitale nationale - numéro sans frais - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - cognitivo comportementale - jours approche - répertoire des ressources en dépendances - alcool drogues - durée du programme - centre du québec - centre de traitement - centre de traitement des dépendances - évaluation des conducteurs - alcool drogues jeu - chaudière appalaches - mauricie et centre du québec - mauricie et centre - dépendances aux substances - réadaptation en dépendance
34,clientèle jeunes - clientèle jeunes et adultes - prévention de la rechute - centre de santé - désintoxication avec hébergement - numéro sans frais - sherbrooke québec - thérapie individuelle - thérapie individuelle ou de groupe - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - hommes et femmes - centre du québec - alcool drogues jeu - alcool drogues - dépendances aux substances - ressource certifiée en dépendances - ressource certifiée - réinsertion sociale clientèle - laurentides fiche de la ressource - laurentides fiche - services offerts - répertoire des ressources en dépendances - lanaudière fiche de la ressource - lanaudière fiche - communauté thérapeutique - services sociaux - toxicomanie pour les problèmes - régions ressources publiques - toxicomanie pour les problèmes de jeu pathologique
35,prévention de la rechute - centre de santé - humaniste dernière - entretien motivationnel - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - dépendance le virage - réadaptation en dépendance le virage - services offerts - jours approche - numéro sans frais - thérapie individuelle ou de groupe - thérapie individuelle - communauté thérapeutique dernière - services sociaux - cognitivo comportementale dernière - québec québec - évaluation des conducteurs saaq - communauté thérapeutique - traitement des dépendances - désintoxication avec hébergement - aide et soutien - centre du québec fiche - jeu pathologique - ressource publique - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - centre intégré - chaudière appalaches fiche - abitibi témiscamingue
36,désintoxication avec hébergement - prévention de la rechute - ressource publique - humaniste dernière - ressource publique services - durée du programme - nord du québec - sherbrooke québec - santé mentale - services offerts - centre de réadaptation - répertoire des ressources en dépendances - québec centre - clientèle jeunes et adultes - réadaptation en dépendance - centre de réadaptation en dépendance - entretien motivationnel - cognitivo comportementale dernière - fiche de la ressource - évaluation des conducteurs saaq - lanaudière fiche de la ressource - lanaudière fiche - thérapie individuelle ou de groupe - thérapie individuelle - saaq dernière - évaluation des conducteurs saaq dernière - cisss et ciusss - formation des intervenants - montérégie fiche - montérégie fiche de la ressource
37,sherbrooke québec - clientèle jeunes - communauté thérapeutique dernière - humaniste dernière - jours approche - santé mentale - clientèle jeunes et adultes - cognitivo comportementale dernière - durée du programme - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - québec québec - dépendance le virage - réadaptation en dépendance le virage - ressource certifiée - ressource certifiée en dépendances - répertoire des ressources en dépendances - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - traitement des dépendances - fiche de la ressource - centre de réadaptation - nord du québec - services offerts - service de soutien - désintoxication en externe - services de réadaptation - services de réadaptation en externe - réadaptation en externe - ressource publique services de réadaptation
38,santé mentale - prévention de la rechute - jours approche - cognitivo comportementale dernière - nord du québec - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - centre du québec - traitements de substitution - clientèle jeunes - communauté thérapeutique dernière - capitale nationale - capitale nationale québec - aide et soutien - durée du programme - centre de réadaptation - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - service de soutien - désintoxication en externe - répertoire des ressources en dépendances - dépendance le virage - réadaptation en dépendance le virage - alcool drogues jeu - réadaptation en externe - services de réadaptation - services de réadaptation en externe - cisss et ciusss - formation des intervenants - dépendances aux substances
39,entretien motivationnel - clientèle jeunes et adultes - jours approche - services offerts - numéro sans frais - traitement des dépendances - québec centre - nord du québec - québec québec - dépendances aux substances - hommes et femmes - évaluation des conducteurs saaq - communauté thérapeutique dernière - communauté thérapeutique - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - clientèle jeunes - lanaudière fiche - lanaudière fiche de la ressource - montérégie fiche - montérégie fiche de la ressource - cognitivo comportementale - alcool drogues - réinsertion sociale - estrie fiche de la ressource - estrie fiche - laurentides fiche - laurentides fiche de la ressource - traitements de substitution - chaudière appalaches
40,centre de santé - entretien motivationnel - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - québec québec - centre de réadaptation en dépendance - réadaptation en dépendance - réinsertion sociale - traitements de substitution - centre du québec - thérapie individuelle - thérapie individuelle ou de groupe - clientèle jeunes - humaniste dernière - désintoxication avec hébergement - centre de traitement - aide et soutien - abitibi témiscamingue - communauté thérapeutique - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - côte nord - dépendances aux substances - service de soutien - désintoxication en externe - réadaptation en externe - services de réadaptation en externe - services de réadaptation - cognitivo comportementale - montérégie fiche de la ressource
41,centre de traitement - cognitivo comportementale - désintoxication en externe réinsertion sociale - désintoxication en externe réinsertion - prévention de la rechute - désintoxication avec hébergement - humaniste dernière - hommes et femmes - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - réinsertion sociale clientèle - nord du québec - sherbrooke québec - thérapie individuelle - thérapie individuelle ou de groupe - jours approche - communauté thérapeutique - communauté thérapeutique dernière - cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - traitements de substitution - services offerts - québec centre - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - numéro sans frais - ressource publique services de réadaptation - dépendances aux substances - centre de réadaptation - formation des intervenants
42,services offerts - dépendance le virage - réadaptation en dépendance le virage - humaniste dernière - québec québec - santé mentale - réinsertion sociale - hommes et femmes - thérapie individuelle ou de groupe - thérapie individuelle - communauté thérapeutique - nord du québec - traitements de substitution - entretien motivationnel - répertoire des ressources en dépendances - ressource certifiée - ressource certifiée en dépendances - ressource publique services - ressource publique services de réadaptation - problèmes de jeu pathologique - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes - régions ressources publiques - toxicomanie pour les problèmes de jeu pathologique - problèmes de jeu - désintoxication en externe réinsertion sociale - désintoxication en externe réinsertion - dépendances aux substances - mauricie et centre du québec - mauricie et centre
43,réinsertion sociale - centre de traitement - prévention de la rechute - jours approche - clientèle jeunes - hommes et femmes - clientèle jeunes et adultes - cognitivo comportementale - ressource publique - humaniste dernière - communauté thérapeutique dernière - dépendances aux substances - estrie fiche de la ressource - estrie fiche - centre de réadaptation en dépendance - réadaptation en dépendance - montérégie fiche de la ressource - montérégie fiche - services offerts - traitements de substitution - réadaptation en dépendance le virage - dépendance le virage - santé mentale - québec québec - lanaudière fiche de la ressource - lanaudière fiche - chaudière appalaches fiche - centre du québec fiche - durée du programme - côte nord
44,cognitivo comportementale - centre de traitement - entretien motivationnel - santé mentale - centre de réadaptation - service de soutien - désintoxication en externe - ressource publique services - réinsertion sociale clientèle - ressource publique - répertoire des ressources en dépendances - québec québec - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - services de réadaptation - services de réadaptation en externe - réadaptation en externe - dépendance le virage - réadaptation en dépendance le virage - jours approche - laurentides fiche - laurentides fiche de la ressource - msss et santé - désintoxication avec hébergement - ressource publique services de réadaptation - alcool drogues - capitale nationale - capitale nationale québec - nord du québec - chaudière appalaches
45,traitements de substitution - numéro sans frais - sherbrooke québec - évaluation des conducteurs - réinsertion sociale - évaluation des conducteurs saaq - thérapie individuelle ou de groupe - thérapie individuelle - québec fiche de la ressource - québec fiche - centre de traitement - réadaptation en dépendance le virage - dépendance le virage - québec québec - nord du québec - entretien motivationnel - désintoxication avec hébergement - centre du québec fiche - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - durée du programme - ressource publique - jours approche - msss et santé - cognitivo comportementale - centre intégré - communauté thérapeutique dernière - ministère de la santé et des services sociaux - ministère de la santé et des services - ministère de la santé
