,Topic
10,nord du québec - centre de santé - québec centre - québec fiche de la ressource - québec fiche - ressource publique services de réadaptation - ressource publique services - services de réadaptation - services de réadaptation en externe - réadaptation en externe - ressource publique - clientèle jeunes et adultes - réinsertion sociale - fiche de la ressource - répertoire des ressources en dépendances - clientèle jeunes - aide et soutien - gestion en santé et services sociaux - guide d'implantation - gestion en santé et services - groupes d'âge pour découvrir - groupes d'âge - gestion utilisés - guide d'animation - gestion en santé - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - gestion le répertoire - fédération pour l'innovation en matière de santé
11,aide et soutien - hommes et femmes - ressource certifiée en dépendances - ressource certifiée - jours approche - durée du programme - fiche de la ressource - répertoire des ressources en dépendances - cognitivo comportementale - québec centre - guide d'implantation - hébergement en dépendance - gestion en santé et services sociaux - gestion le répertoire - implantation de l'offre de service de détection - implantation de l'offre de service - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - guide d'animation - humaniste dernière - gouvernement fédéral - gestion en santé - groupes d'âge - groupes d'âge pour découvrir - gestion en santé et services - gains en efficacité - gains en efficacité obtenus - estrie fiche de la ressource - efficacité des économies de coûts
12,jeu pathologique - alcool drogues jeu - alcool drogues - répertoire des ressources en dépendances - implantation de l'offre de service de détection - gouvernement fédéral - implantation de la stratégie d'accès - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - groupes d'âge - implantation de l'offre de service - implantation de la stratégie - gains en efficacité - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - gains en efficacité obtenus - fédération pour l'innovation en matière - fédération pour l'innovation en matière de santé - imputabilité egi - désintoxication en externe réinsertion sociale - efficacité des économies
13,communauté thérapeutique dernière - communauté thérapeutique - ressource publique - durée du programme - réinsertion sociale - fiche de la ressource - répertoire des ressources en dépendances - santé mentale - cognitivo comportementale - gestion utilisés - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - implantation de l'offre de service - hébergement en dépendance - humaniste dernière - guide d'implantation - guide d'animation - hommes et femmes - gestion utilisés par le ministère de la santé - gestion en santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - gestion utilisés par le ministère - fédération pour l'innovation en matière de santé - gains en efficacité obtenus - estrie fiche de la ressource - efficacité des économies de coûts - efficacité obtenus
14,santé mentale - sante mentale - initiative du projet - conseil de la fédération - traitement des dépendances - matière de santé - santé mentale et de traitement - secrétariat du cdf - matière de santé mentale et de traitement - initiative le projet - matière de santé mentale - services sociaux - province du québec - efficacité des économies de coûts - rencontre estivale - succès anticipé - gains en efficacité - évaluation des avantages - federation pour innovation en matiere - federation pour innovation en matiere sante - efficacité des économies - innovation en matière de santé mentale - fédération cdf - résidents de la province - résidents de la province ou du territoire - soins de santé mentale - soins de santé - organisation admissible - organisation gagnante - ministres des provinces et territoires
15,réinsertion sociale clientèle - réinsertion sociale - ressource certifiée en dépendances - ressource certifiée - durée du programme - jours approche - fiche de la ressource - répertoire des ressources en dépendances - hommes et femmes - prévention de la rechute - gestion utilisés par le ministère - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gouvernement fédéral - gestion utilisés par le ministère de la santé - gains en efficacité - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - humaniste dernière - hébergement en dépendance - gains en efficacité obtenus - fédération pour l'innovation - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - efficacité des économies
16,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
17,lanaudière fiche de la ressource - lanaudière fiche - cognitivo comportementale - évaluation des conducteurs - thérapie individuelle - thérapie individuelle ou de groupe - aide et soutien - évaluation des conducteurs saaq dernière - gouvernement fédéral - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - groupes d'âge pour découvrir - groupes d'âge - gains en efficacité - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gains en efficacité obtenus - fédération pour l'innovation - fédération pour l'innovation en matière de santé
18,côte nord - évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - gains en efficacité obtenus - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gestion en santé - gains en efficacité - désintoxication en externe réinsertion - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts - efficacité obtenus - engagement social
19,laurentides fiche de la ressource - laurentides fiche - réinsertion sociale - thérapie individuelle - thérapie individuelle ou de groupe - gouvernement fédéral - gains en efficacité obtenus - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - groupes d'âge pour découvrir - groupes d'âge - fédération pour l'innovation en matière de santé - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gains en efficacité - évaluation des conducteurs saaq dernière - fédération pour l'innovation en matière - fédération pour l'innovation - désintoxication en externe réinsertion sociale
20,cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - entretien motivationnel - cognitivo comportementale - clientèle jeunes - jours approche - évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - gestion en santé et services - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gestion en santé et services sociaux - gains en efficacité obtenus - gestion en santé - implantation de la stratégie d'accès aux services - efficacité des économies de coûts - efficacité obtenus - engagement social
21,hébergement en dépendance - attestation temporaire - certificat de conformité - services sociaux - règlement sur la certification - attestation temporaire de conformité - certification des ressources communautaires - règlement sur la certification des ressources communautaires - certification des ressources communautaires ou privées - production originale - pratiques reconnues - centre intégré - services sociaux ciusss - services sociaux cisss - centres intégrés - services de santé - réseau de la santé - réseau de la santé et des services - réseau de la santé et des services sociaux - services offerts - alcool drogues jeu - alcool drogues - guide d'animation - groupes d'âge pour découvrir - groupes d'âge - gouvernement fédéral - gestion utilisés par le ministère de la santé - humaniste dernière - guide d'implantation - hommes et femmes
22,centre de traitement des dépendances - traitement des dépendances - centre de traitement - réinsertion sociale - évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'implantation - guide d'animation - gains en efficacité obtenus - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - gestion en santé - gains en efficacité - imputabilité egi - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts
23,cognitivo comportementale dernière - cognitivo comportementale - hommes et femmes - thérapie individuelle - thérapie individuelle ou de groupe - implantation de l'offre de service - gouvernement fédéral - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - implantation de la stratégie d'accès - hébergement en dépendance - implantation de la stratégie - gains en efficacité obtenus - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - implantation de l'offre de service de détection - humaniste dernière - groupes d'âge - évaluation des conducteurs saaq dernière - imputabilité egi - estrie fiche de la ressource - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
24,abitibi témiscamingue - centre intégré - services sociaux - ressource publique - répertoire des ressources en dépendances - fiche de la ressource - accès à un service en clsc - groupes d'âge pour découvrir - accès aux services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - gestion en santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gestion en santé et services - gains en efficacité obtenus - désintoxication en externe réinsertion sociale
25,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
26,centre de réadaptation en dépendance - réadaptation en dépendance - centre de réadaptation - évaluation des conducteurs - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - évaluation des conducteurs saaq dernière - gains en efficacité obtenus - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - gestion en santé - gains en efficacité - imputabilité egi - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts
27,services sociaux - cisss et ciusss - formation des intervenants - ministère de la santé et des services - ministère de la santé - ministère de la santé et des services sociaux - centres intégrés - services sociaux cisss - services sociaux ciusss - québec québec - services sociaux msss - alcool drogues jeu - alcool drogues - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - évaluation des conducteurs saaq dernière - guide d'implantation - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - gestion en santé et services sociaux - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - gestion le répertoire - gains en efficacité
28,montérégie fiche de la ressource - montérégie fiche - cognitivo comportementale - désintoxication avec hébergement - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - groupes d'âge - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - évaluation des conducteurs saaq dernière - gains en efficacité obtenus - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gestion en santé - fédération pour l'innovation en matière de santé - gains en efficacité - estrie fiche de la ressource - efficacité des économies de coûts
29,alcool drogues - alcool drogues jeu - répertoire des ressources en dépendances - dépendances aux substances - implantation de la stratégie d'accès - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - implantation de la stratégie - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - gestion en santé - fédération pour l'innovation en matière de santé - gains en efficacité - indicateurs associés - efficacité des économies - efficacité des économies de coûts
30,hommes et femmes - jours approche - durée du programme - fiche de la ressource - ressource certifiée en dépendances - ressource certifiée - répertoire des ressources en dépendances - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - groupes d'âge - gouvernement fédéral - gains en efficacité obtenus - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gestion en santé - fédération pour l'innovation en matière de santé - gains en efficacité - estrie fiche - efficacité des économies - efficacité des économies de coûts
31,quiz pour les jeunes - prévention des dépendances - semaine de prévention des dépendances - semaine de prévention - pratique des jha - campagne médiatique - alcool de cannabis - jeux de hasard - sensibilisation visant - prévention des dépendances spd - dépendances spd - conséquences liés - campagne médiatique la spd - choix éclairés dans différentes situations - semaine de prévention des dépendances spd - argent jha - msss collabore - msss collabore avec le ministère - pratique des jeux de hasard - pratique des jeux - partenaires pour diffuser - choix éclairés - partenaires pour diffuser du matériel - jeunes les risques - matériel de sensibilisation - facteurs de protection - matière de consommation - matière de consommation et de pratique - alcool les drogues - matière de consommation et de pratique des jha
32,clientèle jeunes - clientèle jeunes et adultes - évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'implantation - guide d'animation - imputabilité egi - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - gestion en santé - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts - efficacité obtenus - engagement social
33,centre de santé - nord du québec - services sociaux - évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - gains en efficacité obtenus - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - gestion en santé - gains en efficacité - imputabilité egi - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
34,humaniste dernière - jours approche - évaluation des conducteurs saaq dernière - groupes d'âge - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - guide d'animation - groupes d'âge pour découvrir - gains en efficacité - guide d'implantation - hommes et femmes - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - gains en efficacité obtenus - fédération pour l'innovation en matière de santé - imputabilité egi - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
35,prévention de la rechute - évaluation des conducteurs saaq dernière - guide d'animation - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - guide d'implantation - désintoxication en externe réinsertion - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gestion en santé - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts - efficacité obtenus - engagement social
36,désintoxication avec hébergement - ressource publique services - ressource publique - réinsertion sociale - durée du programme - fiche de la ressource - répertoire des ressources en dépendances - centre de réadaptation - hommes et femmes - implantation de l'offre de service de détection - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - implantation de l'offre de service - gestion utilisés par le ministère - humaniste dernière - gestion utilisés par le ministère de la santé - hébergement en dépendance - gouvernement fédéral - gestion en santé - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - groupes d'âge - fédération pour l'innovation en matière de santé - gains en efficacité obtenus - estrie fiche de la ressource - efficacité des économies de coûts - efficacité obtenus
37,sherbrooke québec - hommes et femmes - évaluation des conducteurs saaq dernière - groupes d'âge - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - guide d'animation - groupes d'âge pour découvrir - imputabilité egi - guide d'implantation - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
38,abitibi témiscamingue - santé mentale - côte nord - nord du québec - services offerts - chaudière appalaches - capitale nationale - capitale nationale québec - jeu pathologique - mauricie et centre - mauricie et centre du québec - centre du québec - répertoire des ressources en dépendances - alcool drogues jeu - hommes et femmes - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - humaniste dernière - gestion en santé et services sociaux - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès
39,entretien motivationnel - évaluation des conducteurs saaq dernière - guide d'animation - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - guide d'implantation - gains en efficacité obtenus - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gestion en santé - gains en efficacité - matière de santé - fédération pour l'innovation en matière de santé - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
40,réadaptation en dépendance le virage - dépendance le virage - centre de réadaptation en dépendance - réadaptation en dépendance - centre de réadaptation - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - désintoxication avec hébergement - numéro sans frais - montérégie fiche de la ressource - montérégie fiche - désintoxication en externe réinsertion sociale - désintoxication en externe réinsertion - gestion utilisés - gestion le répertoire - gestion en santé et services sociaux - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - groupes d'âge pour découvrir - gouvernement fédéral - groupes d'âge - gestion en santé - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - gestion en santé et services
41,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
42,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
43,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
