,Corpus,Expression,Structure syntaxique,Fréquence,isMeSHTerm,MeSHID,MesH_prefLabel_fr,MesH_prefLabel_en,isTaxoTerm
66,doctissimo,aller aux urgences,VER:infi PRP:det NOM,68,False,,,,False
67,doctissimo,secheresse oculaire,NOM ADJ,11,False,,,,False
70,doctissimo,grains de sable,NOM PRP NOM,7,False,,,,False
71,doctissimo,rouge sang,ADJ NOM,5,False,,,,False
73,doctissimo,soulage au niveau,VER:pres PRP:det NOM,4,False,,,,False
74,doctissimo,niveau des sensations,NOM PRP:det NOM,3,False,,,,False
78,doctissimo,faire pour savoir,VER:infi PRP VER:infi,4,False,,,,False
79,doctissimo,jour au lendemain,NOM PRP:det NOM,151,False,,,,False
80,doctissimo,faire mal,VER:infi ADV,82,False,,,,False
81,doctissimo,contour des yeux,NOM PRP:det NOM,9,False,,,,False
84,doctissimo,rosacée oculaire,ADJ NOM,5,True,D012393,Rosacée,Rosacea,False
85,doctissimo,grand spécialiste,ADJ NOM,4,False,,,,False
87,doctissimo,gant de toilette,NOM PRP NOM,11,False,,,,False
88,doctissimo,serum physiologique,NOM ADJ,5,False,,,,False
89,doctissimo,mal aux yeux,ADV PRP:det NOM,11,False,,,,False
90,doctissimo,petits boutons,ADJ NOM,77,False,,,,False
91,doctissimo,d\'avoir peur,NOM NOM,7,False,,,,False
92,doctissimo,canal lacrymal,NOM ADJ,5,False,,,,False
93,doctissimo,justement éviter,ADV VER:infi,6,False,,,,False
95,doctissimo,extrêmement douloureux,ADV ADJ,6,False,,,,False
96,doctissimo,douloureux lorsqu\'il,ADJ NOM,3,False,,,,False
97,doctissimo,traitements hormonaux,NOM ADJ,11,False,,,,False
98,doctissimo,genre de symptome,NOM PRP NOM,7,False,,,,False
99,doctissimo,sécheresse occulaire,NOM ADJ,5,False,,,,False
100,doctissimo,yeux secs,NOM ADJ,12,False,,,,True
101,doctissimo,trouver un travail,VER:infi DET:ART NOM,6,False,,,,False
102,doctissimo,déjà dur,ADV ADJ,3,False,,,,False
103,doctissimo,dernières règles,ADJ NOM,85,False,,,,False
104,doctissimo,hier soir,ADV NOM,416,False,,,,False
105,doctissimo,test de grossesse,NOM PRP NOM,170,True,D011258,Tests de grossesse,Pregnancy Tests,True
106,doctissimo,clear blue,NOM ADJ,23,False,,,,False
107,doctissimo,clear blue digital,NOM ADJ ADJ,7,False,,,,False
108,doctissimo,blue digital,ADJ ADJ,7,False,,,,False
109,doctissimo,mois déjà,NOM ADV,28,False,,,,False
110,doctissimo,cycles long,NOM ADJ,8,False,,,,False
111,doctissimo,stérilet cuivre,NOM VER:pres,19,False,,,,False
112,doctissimo,ans enceinte,NOM NOM,7,False,,,,False
113,doctissimo,ans enceinte de bébé,NOM NOM PRP NOM,3,False,,,,False
114,doctissimo,enceinte de bébé,NOM PRP NOM,58,False,,,,False
115,doctissimo,vraiment fatigué,ADV VER:pper,4,False,,,,False
116,doctissimo,joue des tours,NOM PRP:det NOM,18,False,,,,False
117,doctissimo,test d'ovu,NOM PRP NOM,38,False,,,,False
118,doctissimo,appeler la maternité,VER:infi DET:ART NOM,3,False,,,,False
119,doctissimo,tombé enceinte,VER:pper VER:pper,57,False,,,,False
121,doctissimo,faire les choses,VER:infi DET:ART NOM,35,False,,,,False
122,doctissimo,fillespuis-je,NOM PRO:PER,3,False,,,,False
123,doctissimo,bébé n\'était,NOM VER:impf,4,False,,,,False
124,doctissimo,pris rdv,VER:pper NOM,178,False,,,,False
125,doctissimo,.entre temps,ADJ NOM,3,False,,,,False
126,doctissimo,savoir s\'il,VER:infi NOM,24,False,,,,False
127,doctissimo,j\'ai peur,VER:simp NOM,169,False,,,,False
128,doctissimo,j\'ai peur d\'avoir,VER:simp NOM NOM,9,False,,,,False
129,doctissimo,peur d\'avoir,NOM NOM,25,False,,,,False
130,doctissimo,conjoint travaille,NOM VER:pres,3,False,,,,False
131,doctissimo,temps libre,NOM ADJ,23,False,,,,False
132,doctissimo,nouvelle vie,ADJ NOM,57,False,,,,False
133,doctissimo,rdv gyneco,NOM ADJ,12,False,,,,False
134,doctissimo,qu\'on laisse,NOM VER:pres,3,False,,,,False
135,doctissimo,j\'ai des douleurs,VER:simp PRP:det NOM,23,False,,,,False
136,doctissimo,douleurs de regles,NOM PRP NOM,11,False,,,,False
137,doctissimo,temps en temps,NOM PRP NOM,439,False,,,,False
138,doctissimo,poser problème,VER:infi NOM,10,False,,,,False
140,doctissimo,douleur de règles,NOM PRP NOM,8,False,,,,False
141,doctissimo,dernière grossesse,ADJ NOM,51,False,,,,False
142,doctissimo,coucou les filles,NOM DET:ART NOM,758,False,,,,False
143,doctissimo,lit bébé,VER:pres NOM,6,False,,,,False
144,doctissimo,chambre sauthon,NOM NOM,3,False,,,,False
145,doctissimo,long terme,ADJ NOM,222,False,,,,False
147,doctissimo,lit junior,VER:pres ADJ,3,False,,,,False
150,doctissimo,plan à langer,NOM PRP VER:infi,5,False,,,,False
154,doctissimo,décision prise,NOM VER:pper,5,False,,,,False
155,doctissimo,coup de foudre,NOM PRP NOM,12,False,,,,False
156,doctissimo,j\'ai besoin,VER:simp NOM,60,False,,,,False
157,doctissimo,c\'est vraiment,NOM ADV,158,False,,,,False
158,doctissimo,moment venu,NOM ADJ,27,False,,,,False
159,doctissimo,tas de trucs,NOM PRP NOM,8,False,,,,False
160,doctissimo,chambre qu',NOM PRO:REL,3,False,,,,False
161,doctissimo,vraiment nécessaire,ADV ADJ,8,False,,,,False
162,doctissimo,envie de jouer,NOM PRP VER:infi,5,False,,,,False
163,doctissimo,bonne qualité,ADJ NOM,60,False,,,,False
165,doctissimo,siège auto,NOM NOM,43,False,,,,False
166,doctissimo,voili voilou,VER:pper ADJ,26,False,,,,False
167,doctissimo,faire plaisir,VER:infi NOM,93,False,,,,False
168,doctissimo,chambre à coucher,NOM PRP VER:infi,3,False,,,,False
169,doctissimo,.la chambre,VER:simp NOM,4,False,,,,False
170,doctissimo,grande soeur,ADJ NOM,31,False,,,,False
172,doctissimo,grand lit,ADJ NOM,22,False,,,,False
173,doctissimo,magasin qui vend,NOM PRO:REL VER:pres,3,False,,,,False
176,doctissimo,sachant qu\'il,VER:ppre NOM,10,False,,,,False
178,doctissimo,c\'est vrai,NOM ADJ,212,False,,,,False
179,doctissimo,vrai qu\'au,ADJ NOM,5,False,,,,False
180,doctissimo,qu\'au final,NOM ADJ,11,False,,,,False
181,doctissimo,beaux parents,ADJ NOM,32,True,,,,False
182,doctissimo,réponses et conseils,NOM KON NOM,3,False,,,,False
183,doctissimo,jamais mis,ADV VER:pper,18,False,,,,False
185,doctissimo,chaise haute,NOM ADJ,22,False,,,,False
187,doctissimo,envie de changement,VER:pres PRP NOM,6,False,,,,False
188,doctissimo,lit de grande,NOM PRP ADJ,5,False,,,,False
189,doctissimo,vrai plaisir,ADJ NOM,7,False,,,,False
191,doctissimo,sage femme,ADJ NOM,480,True,,,,False
192,doctissimo,sage femme à domicile,ADJ NOM PRP NOM,3,False,,,,False
193,doctissimo,femme à domicile,NOM PRP NOM,3,False,,,,False
194,doctissimo,rdv de suivi,NOM PRP NOM,8,False,,,,False
195,doctissimo,rdv mensuel,NOM ADJ,9,False,,,,False
196,doctissimo,rdv écho,ADJ NOM,19,False,,,,False
197,doctissimo,écho de croissance,NOM PRP NOM,4,False,,,,False
199,doctissimo,résultats d'analyses,NOM PRP NOM,10,False,,,,False
200,doctissimo,fin de journée,NOM PRP NOM,126,False,,,,False
201,doctissimo,jusqu'à la fin,PRP PRP DET:ART NOM,50,False,,,,False
202,doctissimo,rdv à la maternité,VER:pper PRP DET:ART NOM,3,False,,,,False
203,doctissimo,bons échos,ADJ NOM,3,False,,,,False
204,doctissimo,apparemment lol,ADV NOM,3,False,,,,False
205,doctissimo,faire de longues,VER:infi PRP ADJ,4,False,,,,False
206,doctissimo,vraiment chouette,ADV ADJ,12,False,,,,False
207,doctissimo,déjà du mal,ADV PRP:det NOM,12,False,,,,False
208,doctissimo,temps normal,NOM ADJ,52,False,,,,False
209,doctissimo,mal à dormir,NOM PRP VER:infi,22,False,,,,False
210,doctissimo,col bien fermé,NOM ADV VER:pper,4,False,,,,False
211,doctissimo,prochains jours,ADJ NOM,34,False,,,,False
213,doctissimo,bonne nouvelle,ADJ ADJ,249,False,,,,False
214,doctissimo,super nouvelle,ADJ ADJ,34,False,,,,False
215,doctissimo,grand jour,ADJ NOM,32,False,,,,False
216,doctissimo,vraiment génial,ADV ADJ,10,False,,,,False
217,doctissimo,derniers jours,ADJ NOM,97,False,,,,False
218,doctissimo,mois demain,NOM ADV,13,False,,,,False
219,doctissimo,bébé appuie,NOM VER:pres,5,False,,,,False
220,doctissimo,coup au moral,NOM PRP:det ADJ,12,False,,,,False
222,doctissimo,problème de col,NOM PRP NOM,3,False,,,,False
224,doctissimo,bouteille d'eau,NOM PRP NOM,16,False,,,,False
225,doctissimo,arrêter de boire,VER:infi PRP VER:infi,6,False,,,,False
226,doctissimo,pipi la nuit,NOM DET:ART NOM,3,False,,,,False
228,doctissimo,grandes vacances,ADJ NOM,9,False,,,,False
229,doctissimo,commencé à prendre,VER:pper PRP VER:infi,32,False,,,,False
230,doctissimo,prendre rdv,VER:infi VER:pper,172,False,,,,False
231,doctissimo,cours de préparation,NOM PRP NOM,17,False,,,,False
232,doctissimo,beaux jours,ADJ NOM,23,False,,,,False
234,doctissimo,super en forme,ADJ PRP NOM,4,False,,,,False
235,doctissimo,envie de sortir,NOM PRP VER:infi,16,False,,,,False
236,doctissimo,gros problème,ADJ NOM,56,False,,,,False
237,doctissimo,bouffée de chaleur,NOM PRP NOM,17,False,,,,False
238,doctissimo,niveau du visage,NOM PRP:det NOM,16,False,,,,False
239,doctissimo,examen sanguin,NOM ADJ,9,False,,,,True
240,doctissimo,dérèglement hormonal,NOM ADJ,23,False,,,,False
241,doctissimo,aller mieux,VER:infi ADV,137,False,,,,False
242,doctissimo,bouffées de chaleurs,NOM PRP NOM,12,False,,,,False
243,doctissimo,maux de ventre,NOM PRP NOM,117,False,,,,False
244,doctissimo,cycle menstruel,NOM ADJ,6,True,D008597,Cycle menstruel,Menstrual Cycle,True
245,doctissimo,envie de savoir,NOM PRP VER:infi,12,False,,,,False
246,doctissimo,jour jai,NOM VER:simp,3,False,,,,False
248,doctissimo,arreter de fumer,VER:infi PRP VER:infi,21,False,,,,False
249,doctissimo,radio des poumons,NOM PRP:det NOM,32,False,,,,False
250,doctissimo,bonjour je suis maman,NOM PRO:PER VER:pres NOM,7,False,,,,False
251,doctissimo,petite fille,ADJ NOM,423,False,,,,False
252,doctissimo,problemes de santé,NOM PRP NOM,7,False,,,,False
253,doctissimo,petit effort,ADJ NOM,11,False,,,,False
254,doctissimo,niveau du thorax,NOM PRP:det NOM,11,False,,,,False
256,doctissimo,examens sanguins,NOM ADJ,19,False,,,,False
257,doctissimo,bouffees de chaleur,NOM PRP NOM,3,False,,,,False
258,doctissimo,kyste hémorragique,NOM ADJ,5,False,,,,False
260,doctissimo,bouffées de chaleur,VER:pper PRP NOM,88,True,D019584,Bouffées de chaleur,Hot Flashes,False
261,doctissimo,qualité de vie,NOM PRP NOM,32,True,D011788,Qualité de vie,Quality of Life,True
262,doctissimo,bilan hormonal,NOM ADJ,34,False,,,,False
264,doctissimo,embrasse bien fort,VER:pres ADV ADJ,31,False,,,,False
265,doctissimo,savoir également,VER:infi ADV,3,False,,,,False
266,doctissimo,terribles douleurs,ADJ NOM,8,False,,,,False
267,doctissimo,douleurs musculaires,NOM ADJ,99,False,,,,False
268,doctissimo,bel espoir,ADJ NOM,3,False,,,,False
269,doctissimo,longue journée,ADJ NOM,3,False,,,,False
270,doctissimo,bonjour les filles,NOM DET:ART NOM,298,False,,,,False
272,doctissimo,envie de devenir,NOM PRP VER:infi,3,False,,,,False
273,doctissimo,devenir maman,VER:infi NOM,13,False,,,,False
274,doctissimo,petits princes,ADJ NOM,4,False,,,,False
275,doctissimo,tombe enceinte,VER:pres VER:pper,62,False,,,,False
276,doctissimo,grosse journée,ADJ NOM,15,False,,,,False
278,doctissimo,bonne journée,ADJ NOM,670,False,,,,False
279,doctissimo,courses crevette,NOM NOM,3,False,,,,False
280,doctissimo,mois d'arrêt,NOM PRP NOM,20,False,,,,False
281,doctissimo,bonne courses,ADJ NOM,3,False,,,,False
288,doctissimo,nouvelle coupe,ADJ NOM,7,False,,,,False
291,doctissimo,faire un tour,VER:infi DET:ART NOM,87,False,,,,False
292,doctissimo,oui c\'est,INT NOM,69,False,,,,False
293,doctissimo,rajouter du stress,VER:infi PRP:det NOM,5,False,,,,False
294,doctissimo,peur d\'un,NOM ADJ,6,False,,,,False
295,doctissimo,d\'un nouvel,ADJ ADJ,4,False,,,,False
296,doctissimo,nouvel échec,ADJ NOM,3,False,,,,False
297,doctissimo,j\'en passe,ADJ NOM,29,False,,,,False
298,doctissimo,risque de prématurité,NOM PRP NOM,3,False,,,,False
299,doctissimo,existe des possibilités,VER:pres PRP:det NOM,3,False,,,,False
300,doctissimo,belle grossesse,ADJ NOM,39,False,,,,False
301,doctissimo,actuellement enceinte,ADV VER:pper,40,False,,,,False
302,doctissimo,petits bébés,ADJ NOM,15,False,,,,False
303,doctissimo,petits bébés ...,ADJ NOM PUN,3,False,,,,False
304,doctissimo,tombe malade,VER:pres ADJ,18,False,,,,False
305,doctissimo,rentrée à la maison,VER:pper PRP DET:ART NOM,13,False,,,,False
306,doctissimo,super sage,ADJ NOM,7,False,,,,False
307,doctissimo,super sage femme,ADJ NOM NOM,3,False,,,,False
309,doctissimo,montées de lait,NOM PRP NOM,10,False,,,,False
311,doctissimo,taux de sucre,NOM PRP NOM,9,False,,,,True
312,doctissimo,bonjour jai,NOM VER:simp,11,False,,,,False
313,doctissimo,mois jai,NOM VER:simp,5,False,,,,False
314,doctissimo,rééquilibrage alimentaire,NOM ADJ,7,False,,,,False
315,doctissimo,perte de poids,NOM PRP NOM,144,True,D015431,Perte de poids,Weight Loss,True
316,doctissimo,année dernière,NOM ADJ,122,False,,,,False
317,doctissimo,allergie alimentaire,NOM ADJ,13,True,D005512,Hypersensibilité alimentaire,Food Hypersensitivity,False
319,doctissimo,mal de choses,ADV PRP NOM,54,False,,,,False
320,doctissimo,accouchement difficile,NOM ADJ,4,False,,,,False
321,doctissimo,orteil du pied,NOM PRP:det NOM,5,False,,,,False
322,doctissimo,pied gauche,NOM ADJ,39,False,,,,False
323,doctissimo,bain de pieds,NOM PRP NOM,3,False,,,,False
324,doctissimo,permanganate de potassium,NOM PRP NOM,3,True,D011196,Permanganate de potassium,Potassium Permanganate,False
326,doctissimo,peaux sèches,NOM ADJ,5,False,,,,False
328,doctissimo,connaître l'origine,VER:infi DET:ART NOM,6,False,,,,False
329,doctissimo,base de cortisone,NOM PRP NOM,21,False,,,,False
330,doctissimo,maladie de peau,NOM PRP NOM,7,False,,,,False
331,doctissimo,partir du jour,VER:infi PRP:det NOM,6,False,,,,False
333,doctissimo,laver les mains,VER:infi DET:ART NOM,20,False,,,,False
334,doctissimo,savon surgras,NOM VER:futu,4,False,,,,False
335,doctissimo,allergie au nickel,NOM PRP:det NOM,6,False,,,,False
336,doctissimo,quelqu\'un d\'autre,ADJ NOM,20,False,,,,False
337,doctissimo,pouvez-vous,VER:pres PRO:PER,99,False,,,,False
338,doctissimo,nouvelle crise,ADJ NOM,17,False,,,,False
339,doctissimo,bonne chance,ADJ NOM,277,False,,,,False
340,doctissimo,mets de la poudre,VER:pres PRP DET:ART NOM,3,False,,,,False
341,doctissimo,bout du pied,NOM PRP:det NOM,4,False,,,,False
342,doctissimo,mains et pieds,NOM KON NOM,21,False,,,,False
343,doctissimo,faut faire attention,VER:pres VER:infi NOM,51,False,,,,False
344,doctissimo,faire attention,VER:infi NOM,208,False,,,,False
345,doctissimo,faible dose,ADJ NOM,28,False,,,,False
346,doctissimo,produits ménagers,VER:pper NOM,4,False,,,,False
348,doctissimo,produits d'entretien,NOM PRP NOM,4,False,,,,False
349,doctissimo,donné des conseils,VER:pper PRP:det NOM,5,False,,,,False
350,doctissimo,laver au savon,VER:infi PRP:det NOM,3,False,,,,False
352,doctissimo,crème hydratante,NOM ADJ,63,False,,,,False
353,doctissimo,gants en coton,NOM PRP ADJ,4,False,,,,False
355,doctissimo,mettre une crème,VER:infi DET:ART NOM,14,False,,,,False
356,doctissimo,traitement à la cortisone,NOM PRP DET:ART NOM,5,False,,,,False
358,doctissimo,peau est devenue,NOM VER:pres VER:pper,5,False,,,,False
359,doctissimo,obligée d'arrêter,VER:pper PRP VER:infi,5,False,,,,False
361,doctissimo,tentative de suicide,NOM PRP NOM,6,True,D013406,Tentative de suicide,"Suicide, Attempted",True
363,doctissimo,apprendre à gérer,VER:infi PRP VER:infi,8,False,,,,False
364,doctissimo,gérer le stress,VER:infi DET:ART NOM,3,False,,,,False
365,doctissimo,solution miracle,NOM NOM,62,False,,,,False
366,doctissimo,traitement efficace,NOM ADJ,24,False,,,,False
367,doctissimo,longueur de journée,NOM PRP NOM,36,False,,,,False
368,doctissimo,cercle vicieux,NOM ADJ,76,False,,,,False
369,doctissimo,maman d'une petite,NOM PRP DET:ART ADJ,50,False,,,,False
370,doctissimo,maman d'une petite fille,NOM PRP DET:ART ADJ NOM,30,False,,,,False
372,doctissimo,crise commence,NOM VER:pres,3,False,,,,False
373,doctissimo,c\'est bête,NOM ADJ,8,False,,,,False
374,doctissimo,qu\'il n\'existait,NOM VER:impf,3,False,,,,False
375,doctissimo,heures par jour,NOM PRP NOM,20,False,,,,False
376,doctissimo,passer des tests,VER:infi PRP:det NOM,11,False,,,,False
377,doctissimo,produits chimiques,NOM ADJ,39,False,,,,True
380,doctissimo,âge osseux,NOM ADJ,5,False,,,,False
381,doctissimo,dosage hormonal,NOM ADJ,3,False,,,,False
382,doctissimo,prochain rdv,ADJ NOM,78,False,,,,False
383,doctissimo,ans et demi,NOM KON ADJ,315,False,,,,False
384,doctissimo,pleine santé,ADJ NOM,24,False,,,,False
385,doctissimo,médecin traitant,NOM VER:ppre,521,False,,,,True
386,doctissimo,petit garçon,ADJ NOM,294,False,,,,False
387,doctissimo,avancer le rdv,VER:infi DET:ART NOM,6,False,,,,False
388,doctissimo,sais qu\'on,VER:pres NOM,6,False,,,,False
389,doctissimo,parfaite santé,ADJ NOM,28,False,,,,False
390,doctissimo,hormones de croissance,NOM PRP NOM,8,False,,,,False
391,doctissimo,expérience personnelle,NOM ADJ,27,False,,,,False
392,doctissimo,arrêté de fumer,VER:pper PRP VER:infi,50,False,,,,False
393,doctissimo,matériel de base,NOM PRP NOM,3,False,,,,False
394,doctissimo,besoin de conseils,NOM PRP NOM,22,False,,,,False
395,doctissimo,envie d'arrêter,NOM PRP VER:infi,16,False,,,,False
396,doctissimo,cigarette électronique,NOM ADJ,140,False,,,,False
397,doctissimo,arrêter de fumer,VER:infi PRP VER:infi,95,True,D016540,Arrêter de fumer,Smoking Cessation,True
399,doctissimo,déjà mort,ADV VER:pper,4,False,,,,False
402,doctissimo,revient au galop,VER:pres PRP:det NOM,4,False,,,,False
403,doctissimo,gros fumeurs,ADJ NOM,6,False,,,,False
407,doctissimo,forte dose,ADJ NOM,36,False,,,,False
408,doctissimo,risque de cancer,VER:pres PRP NOM,24,False,,,,False
409,doctissimo,cancer de la gorge,NOM PRP DET:ART NOM,9,False,,,,False
410,doctissimo,entièrement d'accord,ADV PRP NOM,16,False,,,,False
411,doctissimo,envie de fumer,NOM PRP VER:infi,33,False,,,,False
412,doctissimo,c\'est cool,NOM ADJ,17,False,,,,False
414,doctissimo,effets sur le long,NOM PRP DET:ART ADJ,4,False,,,,False
415,doctissimo,effets sur le long terme,NOM PRP DET:ART ADJ NOM,3,False,,,,False
417,doctissimo,besoin de prendre,NOM PRP VER:infi,22,False,,,,False
418,doctissimo,tabac froid,NOM ADJ,4,False,,,,False
419,doctissimo,c\'est qu\'il,ADJ NOM,69,False,,,,False
421,doctissimo,temps mal,NOM ADV,10,False,,,,False
422,doctissimo,mal renseigné,ADV VER:pper,5,False,,,,False
423,doctissimo,points négatifs,NOM ADJ,5,False,,,,False
424,doctissimo,taux de nicotine,NOM PRP NOM,10,False,,,,False
425,doctissimo,dépendance à la nicotine,NOM PRP DET:ART NOM,3,True,D014029,Trouble lié au tabagisme,Tobacco Use Disorder,False
426,doctissimo,aller progressivement,VER:infi ADV,6,False,,,,False
427,doctissimo,grande fumeuse,ADJ NOM,3,False,,,,False
428,doctissimo,d\'arrêter de fumer,NOM PRP VER:infi,4,False,,,,False
431,doctissimo,grande surprise,ADJ NOM,27,False,,,,False
432,doctissimo,temps passe,NOM VER:pres,107,False,,,,False
433,doctissimo,jeune homme,ADJ NOM,47,False,,,,False
434,doctissimo,enlever les dents,VER:infi DET:ART NOM,3,False,,,,False
435,doctissimo,dents de sagesse,NOM PRP NOM,61,False,,,,False
436,doctissimo,abcès dentaire,NOM ADJ,11,False,,,,False
437,doctissimo,traitement antibiotiques,NOM ADJ,6,False,,,,False
438,doctissimo,traitement antibiotique,NOM ADJ,38,False,,,,False
439,doctissimo,simple traitement,ADJ NOM,3,False,,,,False
441,doctissimo,infection des sinus,NOM PRP:det NOM,3,False,,,,False
442,doctissimo,temps envie,NOM VER:pres,13,False,,,,False
443,doctissimo,peur également,NOM ADV,3,False,,,,False
444,doctissimo,rdv rapidement,NOM ADV,16,False,,,,False
445,doctissimo,chirurgien dentiste,NOM NOM,10,False,,,,False
446,doctissimo,prendre des antibiotiques,VER:infi PRP:det NOM,6,False,,,,False
447,doctissimo,rendez-vous,VER:pres PRO:PER,614,False,,,,True
448,doctissimo,c\'est marrant,NOM VER:ppre,11,False,,,,False
449,doctissimo,c\'était normal,VER:impf ADJ,8,False,,,,False
450,doctissimo,grosse semaine,ADJ NOM,7,False,,,,False
452,doctissimo,drainer l'abcès,VER:infi DET:ART NOM,4,False,,,,False
453,doctissimo,faire un curetage,VER:infi DET:ART NOM,3,False,,,,False
456,doctissimo,d\'un abcès,ADJ NOM,6,False,,,,False
457,doctissimo,compliqué de trouver,VER:pper PRP VER:infi,8,False,,,,False
459,doctissimo,soirée et bonne,NOM KON ADJ,7,False,,,,False
460,doctissimo,bonne nuit,ADJ NOM,324,False,,,,False
461,doctissimo,gastro antérologue,NOM ADJ,3,False,,,,False
462,doctissimo,selles molles,NOM ADJ,23,False,,,,False
463,doctissimo,petit déjeuner,ADJ NOM,67,True,,,,False
464,doctissimo,soir grosse,NOM ADJ,6,False,,,,False
465,doctissimo,grosse douleur,ADJ NOM,39,False,,,,False
466,doctissimo,douleur dans le bas ventre,NOM PRP DET:ART ADJ NOM,6,False,,,,False
467,doctissimo,dernière minute,ADJ NOM,14,False,,,,False
468,doctissimo,carence en vitamine,NOM PRP NOM,25,False,,,,False
469,doctissimo,fer et ferritine,NOM KON NOM,3,False,,,,False
470,doctissimo,faire une coloscopie,VER:infi DET:ART NOM,13,False,,,,False
471,doctissimo,coloscopie et fibroscopie,NOM KON NOM,5,False,,,,False
472,doctissimo,maladie de crohn,NOM PRP NOM,103,True,D003424,Maladie de Crohn,Crohn Disease,True
473,doctissimo,aller aux toilettes,VER:infi PRP:det NOM,77,False,,,,False
474,doctissimo,repas du midi,NOM PRP:det NOM,20,False,,,,False
475,doctissimo,tisane au fenouil,NOM PRP:det NOM,4,False,,,,False
477,doctissimo,déjà vécu,ADV VER:pper,66,False,,,,False
478,doctissimo,expérience similaire,NOM ADJ,11,False,,,,False
479,doctissimo,papa est décédé,NOM VER:pres VER:pper,3,False,,,,False
480,doctissimo,décédé d'un cancer,VER:pper PRP DET:ART NOM,4,False,,,,False
